,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.36033704552373,45.40030228344037,44.807265602540774,44.738478858701356,42.954181989039796,41.29751561792528,39.65077557906301,37.99810477106317,36.549471424870234,35.5786674296934,34.67878170072582,33.83780609158181,33.04439233029824,32.28674338971732,31.566661907253426,30.878583275806392,30.224347256325874,29.60201764979361,29.01649322054494,28.53404867462721,28.071417699719056,27.627307982959707,27.200551515914096,26.789155877042457,26.396320002412374,26.01658310992168,25.64755702099536,25.288374451213976,24.938879782428042,24.60819028680252,24.28575883120965,23.97151494991116,23.667589876840363,23.37032103665857,23.08064745914681,22.797632941764263,22.52125062416794,22.25112699022656,21.987654218628563
Consumption conventional (TWh),449.76774310273885,436.2566312923913,424.353659493615,414.2346455286306,404.2870162843976,394.52164739489905,384.7634285242847,375.1598124100251,365.7718242815982,356.93863783248764,348.62049243593475,340.77653821487536,333.373811960613,326.3734325388345,319.7441157968858,313.46902274676074,307.511199676255,301.79455971173604,296.32055918707835,291.1286246575864,286.17231585564207,281.429312635641,276.894575733851,272.5439275104604,268.3131177598264,264.2659526694693,260.34978820574,256.5183642157022,252.7724599651401,249.24632411635034,245.65007146804138,242.30739354159735,239.07538812356904,235.83853544337762,232.79323690941493,229.82014442621212,226.91438487689186,224.07426762407758,221.30062955896344
Consumption actual (TWh),298.96693223400024,292.4357971994839,288.7986475998208,289.40726255354224,281.1314333435045,273.53466447712856,266.0161832658479,258.51351963568607,251.9812866091411,247.477060422542,243.24531087121423,239.24046195582176,235.41970710777568,231.7383232773627,228.2037770516161,224.80880462422124,221.56569059396907,218.4679759278731,215.54369751793118,213.0769092985008,210.68969993208032,208.37743904445554,206.1351422630728,203.95513941490842,201.8327035749604,199.78907362636846,197.7867437142422,195.8000712127353,193.82654667222386,192.00130978930554,190.0642722037405,188.2941662548476,186.56614715072885,184.77379027490747,183.1147546669548,181.47904680045428,179.86620342012856,178.2747841056897,176.7077992323403
Consumption Power (TWh),45.54351867745388,44.305085091939915,43.15194936615266,42.17382951611075,41.50467651597588,40.95659782840316,40.44054542833039,39.89243145639151,39.488419833839224,39.106257677567186,38.74042373015442,38.39202575563716,38.05892304584671,37.74119860644017,37.43835571959899,37.15123625892144,36.87833896444155,36.61866947223315,36.37449810631688,36.138400272586374,35.90708156299833,35.67873174089571,35.45005480244314,35.22145157580108,34.99217556130763,34.76683574919402,34.54036602905101,34.312207121376325,34.084481340629296,33.857352230255096,33.62831939361757,33.39829253898757,33.16618372562587,32.93275702792044,32.69810900063672,32.462536560612705,32.22632974890418,31.98970316887143,31.753078788017376
Consumption Natural gas (TWh),122.27082826787627,119.79665536986715,118.37691889274258,116.63331284745642,112.48153000759253,108.61835810522457,104.70760523528159,100.72321901117525,97.24682911579279,94.86965136660028,92.65274659671607,90.56796042164765,88.58830738474764,86.68432118702417,84.83178270105591,83.04940902575017,81.33942945043982,79.7042974975379,78.16273782700779,76.88871225127266,75.6582507388954,74.47039008452386,73.32631079637338,72.21736599029187,71.18380926639381,70.18191037328042,69.20638919476696,68.2553647801339,67.32722843675207,66.43628529860655,65.56494135972274,64.71257272291396,63.8924302737195,63.086037780937005,62.29966348001268,61.52890393882209,60.77271141122345,60.030906389821794,59.30241836225061
Consumption Oil fuel (TWh),56.38361069077195,55.34154196503811,54.83892507803849,56.416705316738465,53.22487832073378,50.225871986213214,47.28028435334287,44.384858828140665,41.79167372192569,40.15193584922244,38.648369025587265,37.25645914911257,35.95512812053575,34.72218730500226,33.58233264760337,32.50075968564503,31.483507201770482,30.522168858841216,29.619897388963867,28.89913493193647,28.217182140336988,27.570984296537933,26.957222251493448,26.37461604836487,25.805970481235395,25.2604489356143,24.735947333897485,24.230946895895705,23.744842425089768,23.300853018857676,22.874197365958533,22.46455404425445,22.070736909914586,21.692267468074107,21.327980994474853,20.97746359988359,20.64121804365145,20.31786961278325,20.009415600989783
Consumption Wood fuel (TWh),74.76897459789816,72.9925147726387,72.43085426288711,74.1834148732366,73.92034849920233,73.73383655728759,73.58774824889308,73.51301033997863,73.45436393758342,73.3492155291521,73.20377151875645,73.02401662942438,72.81734855664557,72.59061617889608,72.3513059833578,72.10739965390462,71.8644149773172,71.62284009926086,71.38656419564266,71.15066184270528,70.90718548984961,70.65733292249804,70.40155441276282,70.1417058004506,69.85074826602356,69.57987856827972,69.30404115652676,69.00155241532937,68.66999446975271,68.4068192415862,67.99681408444167,67.71874694869162,67.4367962414689,67.06272799797593,66.78900119183055,66.51014270113589,66.22594421634949,65.93630493421323,65.64288648108254
Heating intensity (%),0.7323426645135779,0.7412940862785551,0.7529883832520997,0.7687121887517951,0.7700396841467956,0.7722081883840557,0.7738973278317635,0.7745147973081931,0.7774363627072417,0.7841478118693278,0.790623807289949,0.7968387796625797,0.8027498385684138,0.8083021928714011,0.8135704003155649,0.8185796987488313,0.8234268434551867,0.828228673915805,0.833050322662086,0.838703712667812,0.8441275085394183,0.849353601468458,0.8543688475161385,0.8592003322995372,0.8639619407909487,0.8685358709331057,0.8729338747040072,0.8771639267501725,0.8812495070119903,0.885287910291005,0.889229241716414,0.8929720239610496,0.8965758908041297,0.9000939510398108,0.9034710875947404,0.9067400543669862,0.9099137529207022,0.9129911396289896,0.9159814611757252
Heating intensity C1 (%),0.5830727203961443,0.5933319557501446,0.606105880520328,0.6225140921630091,0.6257751699604474,0.629784827644527,0.6333136296016875,0.6356871530926251,0.6403840769039564,0.6485775837865414,0.6564055167022874,0.6638438021876707,0.6708548786132105,0.6773848095285907,0.6835142594784508,0.6892643896330395,0.6947260468720171,0.7000136139356853,0.7052064949891693,0.7111374225374781,0.7167642509578097,0.7221234891516383,0.7272080267656263,0.7320362491549054,0.736725560611582,0.7411953081311953,0.7454498449859757,0.7494882873824502,0.7533421254508601,0.7571501760515232,0.7607823236190469,0.7642565978598592,0.7675865394206416,0.7707815332249109,0.7738695002604202,0.7768438423464167,0.7797191351211945,0.7824969712257418,0.7851876483312833
Heating intensity C2 (%),0.6535237118382223,0.6632722075171956,0.6755635425621774,0.6915364938640276,0.69354927714148,0.6963651848816992,0.6986274160904614,0.6997072590882354,0.7030912302035895,0.7102725539046733,0.7171808280024966,0.7237872620448437,0.7300516700404066,0.7359156551768964,0.7414578978473989,0.7466999809755164,0.7517348989398942,0.756676113187266,0.7615954694857942,0.7673495732942068,0.7728571162660476,0.7781448429299784,0.783199402820769,0.7880547277990114,0.7928237865349689,0.7974128743562817,0.8018105696209804,0.8060602493862555,0.8101042199820672,0.8141105050960113,0.817955808381527,0.8216560621624789,0.8252192287709033,0.8286507864141491,0.8319739423267201,0.8351836103905123,0.8382973583891837,0.8413158086898779,0.8442465838436735
Heating intensity C3 (%),0.7303704579204495,0.7388718234702185,0.7504228601792606,0.7661025798141277,0.7668851266590787,0.7685032103014632,0.7696131997525496,0.7696472881090286,0.7719423630022134,0.7781780759461758,0.7842179975079059,0.7900312233660207,0.7955655871614661,0.8007615395569047,0.8057026619168175,0.810414264511629,0.8149835995076189,0.8195370715113988,0.8241596983198195,0.829704018143516,0.8350500472724046,0.8402228519298861,0.8452072742154416,0.8500253908596921,0.8547837927641683,0.8593450971186384,0.8637428041406042,0.8679779314413542,0.8720721294537467,0.876154244554816,0.8800862263086773,0.8838804826270663,0.8875466228205755,0.8910792091320285,0.8945194365755925,0.8978557243627361,0.9011007567379571,0.9042517856656839,0.9073202185831813
Heating intensity C4 (%),0.7939349639089588,0.8016643614017647,0.8125172033072006,0.8282056112353455,0.8292634934192595,0.8311427376752728,0.8325580038714363,0.832956316238813,0.8355606540343988,0.8417937198260085,0.8478391516520292,0.853676563871705,0.8592670289990664,0.8645616401276269,0.869618020597252,0.8744716021131178,0.8792279910058931,0.883988223480214,0.8888068178428928,0.8944411589769674,0.8998564178077694,0.9050992109165765,0.9101524059825845,0.9150578116072475,0.9199072166989173,0.9246115333100435,0.929163379173039,0.9335599955861964,0.9378944134402689,0.942112260303918,0.9464115962620205,0.9503583099537793,0.9541807803865313,0.9578843911921682,0.9614936501231411,0.9649986353149552,0.9684104904181636,0.9717270354990724,0.9749579726611163
Heating intensity C5 (%),0.8640696512914138,0.8743808305751996,0.886952843185252,0.9031237085339949,0.9042041698825835,0.9061980835247352,0.9077362139851232,0.9082670815613636,0.9111912688283021,0.9181076944546789,0.9247925996117989,0.9312270398824039,0.9373735140660836,0.9431814466938536,0.9487300314107322,0.9540431317948633,0.9592296801174118,0.9644249212481194,0.969662967648965,0.9757068798239814,0.9815393980508039,0.9871854245077439,0.9926315525873707,0.9978977382047339,1.0031274164393809,1.008134467318818,1.012958114020137,1.0175962411427666,1.0220744887163906,1.0265117522331313,1.0308348740539124,1.034949525158488,1.0388829914602737,1.0429056385527462,1.0465975220472714,1.0501715658007713,1.053638756408493,1.0569974102333188,1.0602555078356524
