,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.36033704552373,45.40030228344037,44.78674169398863,44.681981407176465,42.85364585041579,41.1462507611187,39.443282121073075,37.731845148883714,36.22157804296973,35.18225691822976,34.211430800983635,33.296547617500494,32.426337788973655,31.588166441143642,30.78524440487348,30.014259898881487,29.274096553057845,28.56898368983825,27.905198635737957,27.34665181878933,26.814234303631892,26.307200682399163,25.824332922907956,25.36267838266962,24.926202688246327,24.508118161096313,24.10658227578572,23.720464635765342,23.34903259267054,22.99982813161829,22.663546822505733,22.342661751655402,22.033568805327743,21.73471059171324,21.446604889042774,21.168241886039446,20.899748214206504,20.64041424909361,20.38976511585772
Consumption conventional (TWh),449.76774310273885,436.2566312923913,424.0469111697411,413.4059134153552,402.7272508153102,392.0645127339443,381.2572935191675,370.5093190349674,359.9262792729571,349.8609548557291,340.28490771336294,331.1594662293279,322.46302583057076,314.147555396058,306.2104438184834,298.63699009197455,291.3887765840556,284.4274523303307,277.8035897318223,271.4149692620991,265.45725755688767,259.714942346572,254.26867993268075,249.06938715552135,244.18696616954074,239.52100913285656,235.08715774174667,230.83883598031505,226.73381978214422,222.82225540163464,218.9385763707621,215.34792078176983,211.87829866869217,208.5002203368905,205.24103557281572,202.10670180953443,199.08673600107795,196.16755382386484,193.33999011174788
Consumption actual (TWh),298.96693223400024,292.4357971994839,288.6336450745788,288.94230844860147,280.26023189274696,272.16687762134563,264.07097172342185,255.93695173267483,248.73397636732489,243.50608828685284,238.5201977459081,233.73162130275114,229.10317179725968,224.59088823165948,220.21510556600936,215.96928580633121,211.88023200391407,207.95842485150587,204.25936034533504,200.94833253311606,197.85079261430616,194.80389340486695,191.87629364275355,189.07561425304897,186.45878860509495,183.9354186707012,181.51569271020986,179.17571617142485,176.89511911927931,174.7362117001239,172.54892530359774,170.52869546353637,168.55851872438765,166.61878713407137,164.73385581384332,162.91181048339863,161.1410221974267,159.4163564235114,157.73487860641734
Consumption Power (TWh),45.54351867745388,44.305085091939915,43.127317761634835,42.108701447209796,41.38322663506453,40.76576263138732,40.16791895864147,39.5314976520356,39.030450712703185,38.54566736875885,38.07242884334157,37.6120622206708,37.163308908425506,36.726917278372476,36.30366985211968,35.89593826607224,35.50342514502793,35.13024802235313,34.77629051742007,34.431870099559866,34.08933277178327,33.75017281087107,33.41656444150311,33.08787092743778,32.76095455043035,32.43823912150385,32.12033810311468,31.80408883842898,31.49088992213327,31.17911396272831,30.86920523338853,30.562102271798658,30.257322323982983,29.95541404984278,29.65668485832836,29.361464555574067,29.070179772754965,28.78337639072834,28.501052307722833
Consumption Natural gas (TWh),122.27082826787627,119.79665536986715,118.33114485976932,116.50978680444551,112.25954201146612,108.2810963118205,104.24085723773045,100.11927117104102,96.49916021853049,93.96478895640499,91.58636280278581,89.33570597098297,87.18716018437836,85.10738248712124,83.0780219220072,81.11782286044307,79.21807762596386,77.39908297010747,75.68185681663931,74.23262487415172,72.84118762656071,71.506837918709,70.22707920103223,68.99348563341778,67.85004522402814,66.7505008512199,65.68804984394025,64.6629084888686,63.6728858375701,62.72934822572749,61.816731800325556,60.94858765169139,60.10643850929253,59.287036215716974,58.49553244127757,57.726918875006255,56.98082944046885,56.25907807572686,55.55873397758441
Consumption Oil fuel (TWh),56.38361069077195,55.34154196503811,54.81038620792362,56.3348077656169,53.08389440000494,50.020745675248,47.00809292464095,44.04555068014564,41.384358476872634,39.66414529338273,38.07701113078731,36.59631722426086,35.199803888426025,33.86463792939957,32.6157098190204,31.425673971773772,30.296938265843988,29.227973514186,28.22671862148549,27.413802231947383,26.654326513459086,25.94519754087633,25.282493656954824,24.661804502886742,24.06740094475529,23.506621553813527,22.977270633131944,22.476798625476896,22.00329972513281,21.577325252160193,21.175538683750894,20.796648951133754,20.4411037140916,20.105198103082152,19.78690403781818,19.48595905472505,19.202857948887758,18.933332541529484,18.67777021531956
Consumption Wood fuel (TWh),74.76897459789816,72.9925147726387,72.36479624525103,73.98901243132923,73.53356884621134,73.09927300288977,72.654102602409,72.2406322294526,71.82000695921855,71.33148666830628,70.78439496899341,70.18753588683649,69.55289881602978,68.89195053676622,68.2177039728621,67.52985070804212,66.86179096707832,66.20112034485926,65.57449438979019,64.87003532745709,64.26594570250309,63.601685134410545,62.95015634326337,62.332453189306705,61.780387885881176,61.24005714416392,60.730034130022986,60.23192021865037,59.728043634443154,59.25042425950789,58.68744958613276,58.22135658891257,57.753654177020564,57.27113876542948,56.794734476419215,56.337467998093246,55.887155035315125,55.440569415526696,54.997322105790516
Heating intensity (%),0.7323426645135779,0.7412940862785551,0.7531280657194689,0.7690874002461938,0.7707391152622352,0.7733070348997723,0.7754729196687731,0.7766257904282021,0.7801310376868079,0.7874705392856801,0.7946099907587082,0.8015264412875645,0.8081756655588286,0.8145032209494115,0.8205751100585643,0.8264084468018538,0.8320862043950634,0.8377039977620327,0.8433122957101564,0.8497556643210861,0.8559019332508732,0.861842523295646,0.8675244948518714,0.8729787146603549,0.8782847193664368,0.88337521030512,0.8882458413241344,0.8929033875651218,0.8973816682334916,0.901799643212351,0.9060876695904821,0.9101384707090744,0.9140299109967386,0.9177759212136298,0.9213947016012138,0.9248699804606444,0.9282211149937644,0.9314467146754646,0.9345605737221375
Heating intensity C1 (%),0.5830727203961443,0.5933319557501446,0.6062439991766416,0.6228817774914598,0.6264754886655248,0.6309131684504229,0.6349815428252156,0.6379518005972766,0.6432597175710905,0.6520647669978361,0.6604908677695492,0.6685101740705313,0.6760807550456447,0.683144120747927,0.6897785597427704,0.6960052323040734,0.7019122557972934,0.707613911879534,0.7131918964514328,0.71949531876217,0.7254678243310548,0.7311416254811349,0.7365343244131709,0.7417731999915848,0.7467601113041531,0.7515026112072404,0.7560237761570568,0.7603234628757364,0.7644605618148176,0.7685292249544021,0.7726839803959166,0.7763982553902499,0.7799555932834733,0.7833643842985564,0.7866533942251835,0.789817610962696,0.7928677901233745,0.7958078969915603,0.7986509514004765
Heating intensity C2 (%),0.6535237118382223,0.6632722075171956,0.6757048394201519,0.6919182713713768,0.6942624318188009,0.6974826445517763,0.7002184980471403,0.7018144581051636,0.7057372523922547,0.713477746189349,0.720947133821654,0.728118866239001,0.7349480892601884,0.7413727176559443,0.7474724252336659,0.753259346737723,0.758824968513436,0.764300025050207,0.7697132210167494,0.7759906427144273,0.7819736209172753,0.7877180908145842,0.7932208347120984,0.7985691177967926,0.8037446071624488,0.8087131634496387,0.8134572814893837,0.8180003810319311,0.8223732623557168,0.8267068252275237,0.8308533343048853,0.8348353503997729,0.83867167457251,0.8423988305101443,0.8459537082774746,0.8493795265055385,0.8526897321002865,0.8558839713014118,0.858972815974918
