,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.529510841626575,45.30083446687712,45.69056301567888,44.32313462635247,42.979494086991565,41.63462611797466,40.33212577452017,39.068098063725294,38.178371715517805,37.35017547188505,36.57041953893337,35.827391646525086,35.11018841450302,34.423793477934396,33.76272376274665,33.13576269612098,32.55122667779928,32.0070121737292,31.556202093035928,31.122961454398386,30.705440098823477,30.303171784741014,29.915892599345014,29.548845121376917,29.192978563673,28.8479866671229,28.511096778974718,28.186030744023704,27.883868676279437,27.58978721405502,27.304260749025783,27.03036664667428,26.76405563199425,26.506256807464272,26.2553048461515,26.0111079974823,25.773248502935452,25.54300507122678
Consumption conventional (TWh),449.76774310273885,437.4153761159382,426.60633363550534,417.4933566608198,408.5663774247075,399.7989325935086,391.1542750300915,382.6233282483379,374.2001560884392,366.1037492840686,358.32578167492994,350.85240386378297,343.6665933159611,336.74657339758,330.0957844723144,323.69171303011564,317.5479681782595,311.6777947006766,306.00503722280223,300.55254356585823,295.3077038377231,290.2685944132247,285.41510742816865,280.7405596532623,276.2162956906106,271.8366780582437,267.59875543054864,263.4746618340379,259.38206461878565,255.45997858619776,251.59276282428002,247.96403981931772,244.49604435225916,241.1225292948152,237.7265667694973,234.53080237413886,231.42747423030926,228.3825085824451,225.4389379732998
Consumption actual (TWh),299.31913671610755,293.5211649794989,291.79941260262075,294.5329881828673,288.1672231041517,281.9780365544507,275.82705716351506,269.8941378349903,264.1459339645866,259.9293513147723,255.92744335992188,252.0882236175174,248.36734693613644,244.72335665774946,241.1749744942543,237.71513855325483,234.39012583589562,231.24365689876154,228.2659635097173,225.6794723319212,223.16055241966498,220.7136413662156,218.32688247558215,216.0017633476077,213.77266636899984,211.5893465929037,209.45224774192363,207.3469413699878,205.202164292878,203.1939486721892,201.1739542497197,199.3000660543214,197.49668699214473,195.7260238351208,193.89247536894598,192.19487724256612,190.53472347645038,188.89265082435654,187.29735267731152
Consumption Power (TWh),45.59905051094946,44.479021299474596,43.36814083603593,42.38823795572445,41.75389049181216,41.16653307663685,40.624833994780566,40.12610993074124,39.668092034819914,39.22697285141026,38.8003142232288,38.386506781743215,37.984772569029836,37.59464702623376,37.21543415144086,36.84682150272555,36.4879069991519,36.138304379512064,35.79622187864647,35.456928451201,35.12776270059608,34.8033381546102,34.48603172419485,34.17119228122929,33.856524189566144,33.54220113119351,33.22882097318735,32.91597309759192,32.60833500968331,32.29974528904931,31.990539572317964,31.680948171214247,31.371883455962678,31.06539019218123,30.759172296035697,30.45436274078066,30.15160802794913,29.849993903218525,29.54986815125466
Consumption Natural gas (TWh),122.4689290747837,120.33392721532208,120.07520374449373,119.53321963519473,116.59753564859825,113.7327908499727,110.81854501014793,108.00098115338695,105.26557553536435,103.261717159315,101.38546745033301,99.60379123337093,97.8866990693051,96.20589276202782,94.53809634063933,92.91270822556676,91.3643180234605,89.91656674596683,88.56506755741329,87.43438318702815,86.3322346468509,85.25858993153436,84.21374148159242,83.20328417166643,82.28433971438103,81.39169764202275,80.52515430634675,79.67053619981932,78.8495277568755,78.07323415588043,77.31488850429456,76.57692135517682,75.87577852210754,75.19092160164656,74.5302002667634,73.88466528964233,73.2534170479493,72.6355660785794,72.03076146269571
Consumption Oil fuel (TWh),56.4821825324762,55.32808999119955,55.301580903135196,57.69968352090088,55.142447313093,52.594709740844266,50.05271460098612,47.57250346348496,45.15156654577921,43.57244879713005,42.11969058373777,40.76988776760247,39.50203825805944,38.29672102324598,37.18984270964428,36.139736202264665,35.15413673073786,34.24677227551584,33.41407824102263,32.76425046677198,32.15287962020862,31.57619478942712,31.030902933528136,30.514573335197934,30.006113651024123,29.519632788475114,29.053805085893423,28.60896713904262,28.18037478698064,27.80445935123875,27.445697199341012,27.10393572151098,26.778018494831603,26.466815951048744,26.16932871095892,25.88529414804606,25.614663469693127,25.35705953662138,25.11728018430033
Consumption Wood fuel (TWh),74.76897459789816,73.38012647350271,73.05448711895588,74.91184707104726,74.67334965064823,74.48400288699689,74.33096355760048,74.19454328737713,74.06069984862312,73.86821250691696,73.62197110262233,73.32803783480078,72.99383703974206,72.62609584624187,72.2316012925298,71.81587262269782,71.38376408254535,70.94201349776681,70.49059583263491,70.02391022692002,69.54767545200937,69.07551849064392,68.59620633626672,68.11271355951403,67.62568881402858,67.13581503121233,66.64446737649608,66.15146493353392,65.56392673933851,65.0165098760207,64.4228289737662,63.93826080641937,63.47100651924293,63.00289609024425,62.433774095187964,61.97055506409708,61.51503493085883,61.050031305937225,60.59944287906081
Heating intensity (%),0.7332466914484328,0.741981185405098,0.7559641261502713,0.7745889213464753,0.778934443349269,0.7830199630584838,0.7866093689570578,0.7901750431405961,0.7936981297817356,0.800091505942491,0.8064255931518864,0.8126107507142666,0.8185794704066305,0.8242590859170248,0.8297052946087042,0.8349408812409767,0.8400787648185166,0.8452382876053042,0.8505221386792208,0.8565672355094718,0.8624272398206209,0.8681117672065187,0.873613861283105,0.8789501894534288,0.8842719056996742,0.8894341541114005,0.8944428303884135,0.8993001461960933,0.9040307832526961,0.9088126280843868,0.9134909662138997,0.9179950348928543,0.9223643104400456,0.9266249274241558,0.9308559409888811,0.9349532055912511,0.9389668607286161,0.9429078970128673,0.9467699231244386
Heating intensity C1 (%),0.583986048064517,0.5945624579873213,0.6099123672132528,0.6293845973435402,0.635836481032137,0.6418495423921666,0.6472296683238565,0.6524648895484438,0.6575690865632923,0.6653204037517434,0.6729297283782374,0.680315863242116,0.6874214485539808,0.6941769269205523,0.7006452558935341,0.7068439868931823,0.7128809306535817,0.7188753368216786,0.7249044564894045,0.7315804769557823,0.7380037133590439,0.7441843240097642,0.7501156000197148,0.7558207503971873,0.7614331875311932,0.7668258933476628,0.7720120955663844,0.7769897239335557,0.7817614535816078,0.7865512096486333,0.7911697598985058,0.7956266412073234,0.7999367029578468,0.8041174531947547,0.808201644112647,0.8121795518870168,0.8160558760794429,0.8198473687480289,0.823561608325671
Heating intensity C2 (%),0.6544482939201209,0.6642005880117053,0.6789417001350782,0.6979317177799723,0.7031300025102646,0.7080171058625305,0.7123618807821269,0.7166411433275524,0.7208369453615526,0.7278872652511594,0.7348398710063794,0.741604107551928,0.7481137153320528,0.7542935873761593,0.7602075655446523,0.7658765835747241,0.7714122828800872,0.7769413436793896,0.7825503595380707,0.7888909652687423,0.7950145352504094,0.8009244087637325,0.8066124546280763,0.8121125306838334,0.8175668758671794,0.8228314217559147,0.827915265823679,0.8328178136418812,0.8375638729841638,0.8423709678461118,0.8470319515999389,0.8515929647134802,0.8559835132362452,0.8602457006529879,0.8644345687256391,0.868532826301078,0.8725518429981801,0.8765152494020918,0.8803801522666527
