,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
Power prices (euro/kWh),0.129067201,0.137438415,0.144888236,0.150103761,0.151754902,0.153424206,0.155111872,0.156818103,0.158543102,0.160287076,0.162050234,0.163832787,0.165634947,0.167456932,0.169298958,0.171161247,0.17304402,0.174947505,0.176871927,0.178817518,0.180784511,0.182773141,0.184783645,0.186816265,0.188871244,0.190948828,0.193049265,0.195172807,0.197319708,0.199490225,0.201684617,0.203903148,0.206146082,0.208413689,0.21070624,0.213024009,0.215367273,0.217736313,0.220131412,0.222552858,0.225000939,0.227475949,0.229978185,0.232507945,0.235065532,0.237651253,0.240265417,0.242908336,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328,0.245580328
Natural gas prices (euro/kWh),0.070391011,0.070655118,0.067722706,0.065611238,0.068564201,0.071635206,0.075089925,0.078592956,0.082166021,0.083969312,0.08562828,0.087219766,0.088820613,0.090507666,0.09236807,0.094287221,0.096159514,0.097879345,0.099341116,0.100010684,0.100688874,0.101375797,0.102071568,0.102776299,0.103175403,0.103577434,0.103982415,0.104390368,0.104801316,0.105085481,0.105371295,0.105658768,0.105947913,0.106238742,0.106482024,0.106726662,0.106972667,0.107220049,0.107468819,0.107718987,0.107970564,0.10822356,0.108477987,0.108733854,0.108991174,0.109249958,0.109510216,0.10977196,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201,0.110035201
Oil fuel prices (euro/kWh),0.091845022,0.087134722,0.079705304,0.065364684,0.071302424,0.077718677,0.084724114,0.092121441,0.099973939,0.103092114,0.106048231,0.108944478,0.111883068,0.114966243,0.117813544,0.120749352,0.123634678,0.126330546,0.12869799,0.129371722,0.130051174,0.130736395,0.131427433,0.132124338,0.133075158,0.134036898,0.135009685,0.135993645,0.136988907,0.137387958,0.137788827,0.13819152,0.138596047,0.139002415,0.13941318,0.139825827,0.140240364,0.1406568,0.141075145,0.141495405,0.141917591,0.142341712,0.142767775,0.14319579,0.143625767,0.144057713,0.144491637,0.14492755,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546,0.14536546
Wood fuel prices (euro/kWh),0.037255264,0.040237145,0.04077503,0.036937026,0.03738027,0.037828833,0.038282779,0.038742172,0.039207078,0.039677563,0.040153694,0.040635539,0.041123165,0.041616643,0.042116043,0.042621435,0.043132892,0.043650487,0.044174293,0.044704384,0.045240837,0.045783727,0.046333132,0.046889129,0.047451799,0.048021221,0.048597475,0.049180645,0.049770813,0.050368062,0.050972479,0.051584149,0.052203159,0.052829597,0.053463552,0.054105114,0.054754376,0.055411428,0.056076365,0.056749282,0.057430273,0.058119436,0.05881687,0.059522672,0.060236944,0.060959788,0.061691305,0.062431601,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078,0.06318078
Power emission (gCO2/kWh),120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Natural gas emission (gCO2/kWh),206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0
Oil fuel emission (gCO2/kWh),271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Wood fuel (gCO2/kWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total population (Millions),55.93044173845746,56.19115373515297,56.44672010033476,56.69456801824595,56.93727030464341,57.17311174902258,57.40209235138344,57.62592732223057,57.84461666156397,58.059017974635935,58.26913126144647,58.47495652199555,58.67820896678778,58.87803099057085,59.07613780384934,59.27252940662326,59.46634819364032,59.66016698065738,59.85227055716985,60.04265892317776,60.23133207868109,60.41743241842756,60.59838712666029,60.7750538086316,60.9448596485846,61.106947041267,61.26131598667882,61.40539366906317,61.54003769367237,61.66439045525411,61.7784519538084,61.883079794587516,61.97913158284375,62.0683225290817,62.15065263330133,62.227837106007236,62.30159115770399,62.3719147883916,62.43966560332233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income (Billions euro),1147.4758275611587,1161.2455374918925,1175.1804839417955,1189.282649749097,1203.5540415460862,1217.996690044639,1232.6126503251749,1247.4040021290768,1262.372850154626,1277.5213243564815,1292.8515802487593,1308.3657992117444,1324.066188802285,1339.9549830679127,1356.0344428647277,1372.3068561791044,1388.7745384532536,1405.439832914693,1422.305110909669,1439.372772240585,1456.6452455074725,1474.1249884535619,1491.8144883150048,1509.7162621747846,1527.832857320882,1546.166851608733,1564.7208538280374,1583.4975040739741,1602.4994741228618,1621.7294678123362,1641.190221426084,1660.8845040831973,1680.8151181321955,1700.9848995497816,1721.3967183443795,1742.053478964512,1762.958120712086,1784.1136181606312,1805.5229815785585,1827.1892573575012,1849.1155284457916,1871.304914787141,1893.760573764587,1916.4857006497616,1939.4835290575588,1962.7573314062495,1986.3104193831246,2010.146144415722,2034.2678981487109,2058.6791129264952,2083.3832622816135,2108.3838614289925,2133.6844677661406,2159.2886813793343,2185.200145555886,2211.422547302557,2237.959617870188,2264.8151332846305,2291.9929148840456,2319.4968298626545,2347.330791821006,2375.4987613228577,2404.004746458733,2432.8528034162373,2462.0470370572325,2491.5916015019193,2521.490700719942,2551.7485891285814,2582.3695721981244
