,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.70557921172497,45.61537312006499,46.11518743423381,44.83366622728853,43.57244205990476,42.30795488061686,41.085643248931646,39.902684272196716,39.09714930090567,38.348598358441514,37.64391080424881,36.97149186265619,36.32055153459136,35.69685435259612,35.09433681729206,34.51967085951576,33.983584997994114,33.488402023311096,33.09582045221169,32.71856296691622,32.35162406319333,31.994892266821694,31.64885428131765,31.321410671695897,31.00050334335832,30.686442757939172,30.377714081734574,30.07501059386778,29.79356224100969,29.51746933489938,29.246664587414315,28.981155236650242,28.72078664489464,28.467160643466375,28.21888852623415,27.97989111777971,27.74596435265794,27.51703380212713
Consumption conventional (TWh),449.76774310273885,438.6427256318677,428.80808786755824,420.3977131233025,412.14568804166777,404.0366236253896,396.05141955933186,388.19613430291076,380.47893272437926,373.07245899774693,365.9675569086985,359.1475066063774,352.5938491214308,346.28372138925863,340.21737524872424,334.3678675477424,328.7105714420266,323.281097185296,318.0329187442891,313.04489712572155,308.23876590449436,303.5688614328735,299.0392043440009,294.6579108834237,290.43781019597805,286.3243673137902,282.3111765504476,278.3676312257002,274.5361907549515,270.79092745809663,267.126891054989,263.5424281923426,260.03668749874663,256.51065484457945,253.21025272610754,249.7368864645011,246.6147880395089,243.57966196600188,240.60483942490802
Consumption actual (TWh),299.31913671610755,294.26079604528775,293.15322470848633,296.3806794832145,290.4146129101726,284.6132508933424,278.8427787562289,273.2874740335802,267.9156224907572,264.08923852044285,260.46080803010574,256.9776242477198,253.59528107188274,250.27228292186825,247.03000219787532,243.85822497039405,240.78992255131487,237.881019188972,235.14052005617683,232.83328039092382,230.58153513528302,228.36665180117396,226.19058637260312,224.0604833759215,222.03654378947115,220.0404843272371,218.07342467510938,216.11877232581182,214.20067035942017,212.36943784896118,210.55939583351466,208.77124473656073,207.00595280911853,205.18730172749397,203.5083267321903,201.64772210937934,200.0328056737,198.45440727573086,196.8966499627102
Consumption Power (TWh),45.59905051094946,44.57189481807401,43.568203235191234,42.701753777637826,42.17057732653749,41.67551849499445,41.215817456816964,40.78928434975897,40.39417995575313,40.01058091462452,39.63695417682145,39.272442444536004,38.91688380590688,38.570258259439555,38.23239052085248,37.90318001579483,37.5818936634069,37.268071233993346,36.96030494555158,36.6551845538351,36.353332743967336,36.05493362316734,35.76104873382525,35.47789257053581,35.202986262728324,34.933811394618246,34.66538909205431,34.39799113715096,34.136486151354234,33.87474762576355,33.611536748639935,33.34732134054702,33.082647965419504,32.81715199698815,32.55087203184359,32.284136658117674,32.01731393110259,31.75075524109828,31.48453184346954
Consumption Natural gas (TWh),122.4689290747837,120.52495187371069,120.41440461875477,120.0032090176718,117.18757669532454,114.44059769186237,111.64583214260766,108.95313710054015,106.35117324982942,104.48768351546934,102.75360298123684,101.11497645897222,99.54098355701034,98.00265695991533,96.47564406893154,94.98714038498095,93.55871660099383,92.23296796269926,91.01206278352859,90.03792044885621,89.08904749001647,88.15745888301377,87.24476063750947,86.3497940959256,85.54497712466805,84.75117169360635,83.97438727585144,83.2081523942581,82.45223816123631,81.73198230645988,81.02242934679178,80.32372997511013,79.63588678691566,78.95843328569288,78.30032780626547,77.65407903511111,77.03922256016695,76.434729761068,75.8403049754771
Consumption Oil fuel (TWh),56.4821825324762,55.7878936915551,56.10509544328518,58.75089315090317,56.365458615688155,53.98444069157613,51.60622171198113,49.290704172923014,47.036718505434,45.634117658875994,44.342262634688794,43.137881117792084,42.00066466791732,40.91184964605289,39.91072883424875,38.954976763982536,38.05394046379133,37.216450237743196,36.45032636969385,35.882232565163065,35.35056566230305,34.842518522720646,34.35589869108134,33.88982557455125,33.42196086695694,32.9669973029942,32.524515389922364,32.09348549934923,31.673876822384475,31.307057914985265,30.953085191431157,30.611333030946074,30.281515666036853,29.963608888248867,29.65696738745935,29.361743375538552,29.07795313687268,28.805215013303304,28.543429171907697
Consumption Wood fuel (TWh),74.76897459789816,73.37605566194789,73.06552141125515,74.92482353700176,74.69100027262246,74.51269401490948,74.37490744482311,74.25434841035808,74.13355077974066,73.95685643147299,73.72798823735864,73.45232422641945,73.13674904104823,72.78751805646048,72.41123877384253,72.01292780563573,71.59537182312285,71.16352975453623,70.71782595740282,70.25794282306944,69.78858923899614,69.31174077227219,68.82887831018704,68.34297113490885,67.86661953511786,67.38850393601828,66.90913291728126,66.41914329505357,65.93806922444513,65.45565000175249,64.97234454665178,64.48886038995752,64.00590239074651,63.448107556564096,63.00015950662188,62.347763040612016,61.8983160455578,61.463707260261295,61.02838397185586
Heating intensity (%),0.7332466914484328,0.7412528594112691,0.7546485508644498,0.7728241298743438,0.776692563541988,0.7803079983518235,0.7834235753550304,0.786502964065315,0.7895176224653954,0.7954297668189451,0.8012945779927655,0.807022398499754,0.8125446796149771,0.8177872150518464,0.8228078115932919,0.8276282118511649,0.8323688423457203,0.8371445001296721,0.8420520588218301,0.8477353510220103,0.8532580658425464,0.858631635607719,0.8638468127752479,0.8689087410156191,0.8739577519145426,0.8788600007205848,0.8836263855091756,0.888257200730249,0.8927465214643421,0.8973194877595689,0.9017688160019256,0.9061021160903252,0.9103262849155371,0.914482776680505,0.9185413863440713,0.9226034386753438,0.9265019072982581,0.9303202536156556,0.9340738332852516
Heating intensity C1 (%),0.583986048064517,0.5942168086420809,0.6092810868165649,0.628526631723517,0.6347211051682534,0.6404595634553258,0.645520424568881,0.6503653425090866,0.6549822876999823,0.66221605941199,0.6692743032797452,0.6760838663497138,0.6825951464167569,0.688745090086024,0.6946073692231279,0.7002062070804163,0.7056596716036129,0.7110961613857671,0.7166016442345996,0.7228093096321554,0.7288046225075921,0.7345950198728382,0.7401756496067455,0.7455612992629005,0.7508835215267262,0.7559982317432729,0.7609371488389854,0.7657167094292766,0.7703031855723784,0.7749323034792607,0.779400209567897,0.7837187912363806,0.7878965788828826,0.7919505120225586,0.7959147115805386,0.7997689035087221,0.80357204881182,0.8072344410201608,0.8108183542435656
Heating intensity C2 (%),0.6544482939201209,0.6644720492752205,0.6794013960115379,0.6985088389483617,0.7038307491007814,0.708827511464623,0.7132527890623463,0.7175653473514987,0.7217310897855385,0.7286931291282261,0.73550669708206,0.7420889229503491,0.7483792252914202,0.7543087332602526,0.7599463151734176,0.765315558549007,0.7705390387846136,0.7757486683656093,0.7810329648482813,0.7870535862157235,0.7928633919334698,0.7984776483038888,0.8038877835433396,0.8091123492261791,0.8142982106029675,0.8193022037518684,0.8241442329943549,0.8288214029183079,0.8333314626818257,0.8379047371307035,0.8423395835755367,0.8466432057955439,0.8508236746075987,0.8549373851864925,0.8589347279658298,0.8629502828562615,0.8667842190150274,0.8705438083441825,0.8742350635377139
