,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,46.0722594215095,46.27666055915875,47.01424508954971,45.91954210808697,44.84075717649191,43.74763018896671,42.681089680963545,41.63467441076661,40.96536549469639,40.333024205853455,39.72659810548576,39.136382947096116,38.5533993714832,37.9857077135758,37.42908242049492,36.89363194960418,36.38936993771246,35.924751469905814,35.565520243049576,35.21819976152169,34.88282873536549,34.56210693984584,34.251902432140255,33.95975831666788,33.67321122055844,33.392427272093855,33.117024560602744,32.84710487296132,32.60023127845293,32.358038080530974,32.11935980744966,31.88436368042664,31.653799578842193,31.428590488176436,31.207318253249117,30.98964250679449,30.774809158836344,30.56277222080701
Consumption conventional (TWh),449.76774310273885,441.68542140346034,434.20546447517125,427.3227347550105,420.5882968863407,413.9751373669522,407.45264458746703,400.99991860549426,394.5961376762045,388.34167675548326,382.23580422126264,376.27510001047347,370.4551992996428,364.76795518728517,359.21178270871826,353.78133452398424,348.47503491358754,343.30354162969314,338.2780535155803,333.4572094473668,328.77998551937526,324.24736836183695,319.89001520088516,315.6653683002336,311.5670865856709,307.5615570643108,303.65048495472774,299.8316824357267,296.1150666676115,292.4941641317591,288.9589564662841,285.4582281312422,282.0613809880994,278.74495179031555,275.49487949204786,272.2801026729198,269.1672903623854,266.11018222027815,263.10788734157853
Consumption actual (TWh),299.31913671610755,295.42962190757396,295.3090265280158,299.2699797681212,293.8235317530263,288.5189742626924,283.22100935220743,278.12036331776613,273.1823361436352,269.8447032755245,266.6728611519778,263.61374198730186,260.6225833799048,257.6580088701986,254.74190418448904,251.86753235828675,249.07846368782452,246.41934640371056,243.92586069987226,241.87581049575746,239.8617918344775,237.88673533460613,235.96733267658212,234.0833532418725,232.28248628403864,230.49927508305376,228.7353142646848,226.98885746190246,225.27109073876096,223.6494404397989,222.0455053475625,220.42310833601087,218.84437343144495,217.28458825665265,215.7484539854671,214.20678403373407,212.7049555867175,211.21763783110407,209.74531141989166
Consumption Power (TWh),45.59905051094946,44.59921219652976,43.67603640521833,42.9364501328695,42.51669698350376,42.11975608338148,41.748545201539336,41.404372388983305,41.08736773192947,40.77884877952572,40.476930242849484,40.18036064432373,39.888597961859034,39.601279365245226,39.31791716039452,39.03812872767118,38.76126240892628,38.48651336381554,38.21258050680691,37.936205919630765,37.65786823165472,37.37800226939845,37.09706475859963,36.81570254433455,36.53424595944745,36.25270470851659,35.971268294657385,35.68993465616842,35.416089538399255,35.144858513462076,34.87891646444005,34.61254041590825,34.34603614977107,34.08046507048673,33.81573268937224,33.5517319689589,33.28880880214804,33.027081158462984,32.76674467864784
Consumption Natural gas (TWh),122.4689290747837,121.24708659661994,121.67051543946324,121.71822115807672,119.31271748632618,116.96072145014709,114.54234485086643,112.20387901688981,109.92684441219461,108.37086785450128,106.9049972709323,105.49800523649134,104.12208771622647,102.7513243579744,101.3589584982196,99.98190278380761,98.65101084472687,97.39875674024678,96.2525108110372,95.36297054729738,94.49460213091096,93.65087090437373,92.84895108523766,92.06029772102305,91.35597587103813,90.66195199039123,89.97807071413628,89.30315937975455,88.63803590307543,88.01106186186549,87.39176800116502,86.77941900125816,86.17523828320228,85.58280630506096,85.00713594674869,84.43808456141551,83.87481576029678,83.31628943249922,82.76264283252787
Consumption Oil fuel (TWh),56.4821825324762,56.60244023695476,57.57463467763546,60.69342546982975,58.63665671251603,56.586730215245694,54.517633933457695,52.47317980036705,50.442880946045925,49.27725846227642,48.178900741060495,47.13042649923072,46.116540608301875,45.12315308787775,44.20000227141333,43.30461902417488,42.45224198022122,41.65665897454949,40.92990129953711,40.40710912721818,39.91406899444168,39.44813982438003,39.00649159983635,38.59434550547207,38.18743224152015,37.79376804300236,37.413974579205465,37.047496387106484,36.68991341438371,36.388314382273556,36.09542979921033,35.810732293698614,35.5337719285827,35.264102586879496,35.001527867129916,34.748279806795296,34.503512878269454,34.26512712594323,34.032740418058246
Consumption Wood fuel (TWh),74.76897459789816,72.98088287746954,72.3878400056988,73.9218830073452,73.35746057068036,72.8517665139181,72.412485366344,72.03893211152595,71.72524305346516,71.41772817922109,71.11203289713553,70.80494960725609,70.49535709351743,70.18225205910126,69.86502625446158,69.54288182263308,69.21394845395015,68.87741732509873,68.53086808249104,68.16952490161114,67.79525247747011,67.40972233645392,67.01482523290848,66.61300747104283,66.2048322120329,65.79085034114361,65.37200067668569,64.94826703887301,64.52705188290255,64.1052056821978,63.67939108274709,63.22041662514583,62.78932706988893,62.357214294225464,61.924057482216256,61.468687696564345,61.03781814600321,60.609140114198624,60.183183490657726
Heating intensity (%),0.7332466914484328,0.7399913725710493,0.7524107451549812,0.7698689011499587,0.7729169041665046,0.7757078972307987,0.7779970995223848,0.7802625187791769,0.7824857730072975,0.7877176719854408,0.7929672527229076,0.7981376268857467,0.803152743943985,0.8079298432767448,0.8125267965602934,0.8169555293075739,0.8213310211230539,0.8257730571792979,0.8303686480668704,0.8357854274344436,0.8410580702893791,0.8461882879858449,0.851161116049347,0.8559975847085158,0.8608396645347808,0.8655481472389236,0.870128119136458,0.8745729457313259,0.8788848487363752,0.8832892595160425,0.8875687453023478,0.8917501087183891,0.8958208036832368,0.8997992266073404,0.9037206433946817,0.9075725958979388,0.9113496914098681,0.9150641221047078,0.9187214292964967
Heating intensity C1 (%),0.583986048064517,0.5929625136698747,0.6070131796604014,0.6254928682577574,0.6309060557414722,0.6359147659715676,0.6403156199839536,0.6445926247507132,0.6487528288472579,0.655649032830345,0.6624588098684301,0.6690954405603504,0.6754964191830777,0.6815862351788465,0.6874276895344369,0.693033399447231,0.6985105947749881,0.7039786314459542,0.7095149765272023,0.7157484514730069,0.7217619034203264,0.7275627499550781,0.7331468247208895,0.7385318945188313,0.7438440367552535,0.7489553312733379,0.7538777356800963,0.7586063673678187,0.7631562304661513,0.76772874234566,0.7721303062220094,0.7763826109054588,0.7804979858859773,0.7844923732733758,0.7883987227835187,0.7922014915881169,0.7959158485211979,0.7995471738255798,0.8031025630615911
Heating intensity C2 (%),0.6544482939201209,0.6624561318242272,0.6758097781046744,0.6937750522658362,0.6978139592841033,0.7015270258765514,0.7046756639242212,0.7077418068317711,0.7107112299024737,0.7166520620467937,0.722564867340852,0.7283558684768588,0.733953877022461,0.739277715646974,0.7443922346704238,0.7493088198862526,0.7541431361927174,0.7590237142210963,0.764033199095958,0.769851915685115,0.7755016293721108,0.780985374553781,0.7862803613129514,0.7914169364010166,0.7965354477318012,0.8014956090089143,0.8063051087538826,0.8109573499927718,0.8154640301224897,0.820050930108426,0.8244997461279417,0.8288208085250031,0.8330237702132178,0.8371112993037743,0.8411207287698996,0.8450715692303292,0.8488992797327001,0.8526573031586613,0.8563519958291221
Heating intensity C3 (%),0.7312676430021602,0.737893680613652,0.7504969054211741,0.7681788742261059,0.7709809343774358,0.7735475033732678,0.7756152100708297,0.7776754892793301,0.7797043130907478,0.7847952184496046,0.7899176567115953,0.7949707153224985,0.7998744572267211,0.8045421681914303,0.8090238455790929,0.8133398984657751,0.8176080647077212,0.8219431439093945,0.8264349563250827,0.8317752153981758,0.8369815168770603,0.8420570669317253,0.8469963468548835,0.851810506192748,0.8566551636852717,0.8613704783616375,0.8659577303454831,0.870407417260107,0.8747350662587902,0.8791669154265814,0.8834857407002885,0.8876998488631938,0.8918164656562013,0.8958465423593646,0.8998248572973844,0.903729252266183,0.9075690949623236,0.9113452539432974,0.9150637041862203
Heating intensity C4 (%),0.7947980685405481,0.8000333441835459,0.811259424408246,0.8283600383483466,0.8307883329439896,0.8329979365548483,0.8347513422408107,0.8364946999327239,0.8382045620772227,0.8428232653292045,0.8474850829336994,0.8520970738286797,0.8565851546614794,0.8608699980456866,0.865007782846396,0.8690073523783842,0.8729803810632655,0.8770432094386355,0.8812836759687669,0.8863204037336291,0.8912467777234767,0.8960696708664391,0.9007798996866305,0.9053829072646492,0.9100091663342056,0.914533478346965,0.9189599459054477,0.92328193207689,0.9275065662864392,0.931833465881682,0.9360320885226503,0.9401414745901301,0.9441648711687207,0.9481138569568225,0.9520242961042793,0.9558753032192572,0.9596734030723936,0.9634201096481206,0.9671203764048284
