,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,46.10365583879041,46.33328303833772,47.091124483195,46.0124186186155,44.95124711696703,43.87749449173393,42.83207923293758,41.80820912351281,41.16327669869589,40.55442967609214,39.97045547673755,39.401532880762545,38.838595797601094,38.289916836566796,37.751049583421185,37.23221681102085,36.743530161289755,36.29355903012115,35.94918060700141,35.615252517146175,35.29194769955293,34.98175064706618,34.68093212898134,34.396953334264424,34.11777040616153,33.84356809604727,33.573840815124136,33.30853537747287,33.06598697027049,32.82766508427831,32.59221668045367,32.360036382182834,32.13177586883172,31.908332352572003,31.688343476970104,31.47184931516372,31.257950337282203,31.046604151530186
Consumption conventional (TWh),449.76774310273885,441.95118085029844,434.68561524209815,427.9584256886245,421.38634723628496,414.94335496452226,408.60040482949256,402.3369899047591,396.13228287831237,390.0706472967812,384.1502037609895,378.3668558225897,372.71594801952864,367.18932648785926,361.78482700144747,356.4970401582388,351.3240220223731,346.27585965259715,341.36331924255705,336.6431222210397,332.0548490417593,327.6006059967456,323.3087230689952,319.1405234625746,315.09017070681494,311.12661702020165,307.25166265105054,303.4617482990633,299.7644395285403,296.1546150317241,292.627355687098,289.1641583485695,285.7326751232784,282.41240407107887,279.154420318828,275.926016078218,272.80121290190635,269.72987421656495,266.7105825079658
Consumption actual (TWh),299.31913671610755,295.5394797467965,295.5155439844005,299.5624469841525,294.18119172121555,288.94181666334276,283.7087554115165,278.6730345242822,273.7997454005011,270.53440994816486,267.43254842424307,264.44077250741515,261.5140077365853,258.610567965254,255.7532407644253,252.93448393658798,250.1983403086964,247.58988378946302,245.1453018642357,243.14715091148446,241.18127069931168,239.25090327363003,237.37129345304268,235.5239412408278,233.7562108628886,232.00416697526643,230.26925959920882,228.54887053538067,226.85310602193897,225.2526104798402,223.66867799193804,222.0940641176145,220.50144005537817,218.956259578029,217.43295399360235,215.90126348098022,214.41016708619512,212.93212284604954,211.46739692191193
Consumption Power (TWh),45.59905051094946,44.600808825527785,43.68639751771509,42.96084491627812,42.553859983931474,42.1679719161624,41.805789771590334,41.46853735400408,41.15643087668262,40.8525446337622,40.555139875821645,40.263052649489474,39.97578152480912,39.692966782274176,39.41416746268277,39.13900158952064,38.86683439289067,38.59691935076419,38.327996870604196,38.05700855205352,37.78435891116913,37.5104181601421,37.235576996416995,36.96043220253445,36.68524436643493,36.41003724478787,36.13492889053165,35.859881654825,35.59224617719685,35.32717174698425,35.06725382047966,34.80678516210107,34.546056468854154,34.28610227618047,34.026850493215655,33.76816948794131,33.51039746157898,33.25364983766764,32.99812419807718
Consumption Natural gas (TWh),122.4689290747837,121.26723242423925,121.7068332484343,121.77370332786677,119.3858054183265,117.05115829027652,114.65023261100876,112.32974073903625,110.07150152042558,108.5353756262346,107.08908890011853,105.70126406418144,104.34400462890284,102.99134397975367,101.61656386425825,100.25665932735947,98.9424894298456,97.70644796008033,96.57591382849533,95.70192650342833,94.84777153777108,94.01709721845295,93.22553761944394,92.44608927518705,91.75031084961165,91.06459030591554,90.38863367554653,89.7202471401274,89.05925952368904,88.43489815494492,87.81860896055741,87.20843440625163,86.60652315771813,86.01576336798372,85.44083411496312,84.87208111657,84.31076168984174,83.75452881955043,83.20300546003752
Consumption Oil fuel (TWh),56.4821825324762,56.703129221854105,57.751981981565024,60.92383036413722,58.90619397436874,56.90255267635458,54.887343068701284,52.9040794664683,50.94078104907921,49.84832369088819,48.8201247457596,47.83826946083987,46.887073854409614,45.95215864607608,45.08399411583511,44.23923197204951,43.433520897860234,42.68103753598373,41.99420692578094,41.51200587496236,41.05495417118332,40.6208109336216,40.20711360006774,39.81947547653539,39.433001928798305,39.05694719743625,38.692144066407394,38.33834667974951,37.99130487055363,37.70032124996566,37.41615840761585,37.13847986177614,36.867009475535795,36.601459411562274,36.34176943957951,36.090034769408014,35.845291036470556,35.60585769388394,35.37174141021629
Consumption Wood fuel (TWh),74.76897459789816,72.96830927517529,72.3703312366861,73.90406837587032,73.33533234458885,72.82013378054924,72.3653899602161,71.97067696477356,71.63103195431366,71.29816599727987,70.96819490254327,70.63818633290437,70.30714772846379,69.97409855715009,69.63851532164914,69.29959104765838,68.95549558809994,68.60547894263475,68.24718423935524,67.87620998104026,67.49418607918815,67.10257696141338,66.703065237114,66.29794428657097,65.8876537180437,65.47259222712678,65.05355296672326,64.63039506067877,64.21029545049943,63.79021932794538,63.36665680328508,62.94036468748564,62.481850953270076,62.05293452230252,61.62349994584404,61.1709781070609,60.743716898303866,60.318086494947515,59.89452585358093
Heating intensity (%),0.7332466914484328,0.7398694898572256,0.7521920227346405,0.7695798650306287,0.7725412125753992,0.7752414287112223,0.7774339452610167,0.7795956849196843,0.7817071659597737,0.7868340227126289,0.7919808899778005,0.7970511151290126,0.80196865445417,0.8066505024328564,0.8111556908701065,0.8154955042225254,0.819785445652286,0.8241460556482025,0.8286650693819388,0.834015355798326,0.8392267992571998,0.8443006446645682,0.8492222827056163,0.8540115768084554,0.8588094854364879,0.863476554183437,0.8680178119560188,0.8724268253366958,0.8767063202287518,0.8810834482655437,0.8853372969669778,0.8894854082988081,0.8935440633702678,0.8975022802699463,0.9014052431172799,0.9052408306000832,0.9090018470564046,0.9127012579690771,0.9163446664149466
Heating intensity C1 (%),0.583986048064517,0.5927581945771178,0.6066450485963093,0.6250035827887173,0.6302717817283474,0.6351298515543597,0.6393716641264945,0.6434797641887651,0.6474597852207371,0.6541873270649502,0.6608333490629369,0.6673114796478828,0.6735592391750602,0.6795007234446196,0.6852003933286626,0.6906699562147977,0.6960173490858648,0.7013630465117302,0.7067855128611956,0.7129207907617079,0.7188446048728608,0.7245635582159518,0.7300726162777781,0.7353889566362737,0.7406375424242241,0.7456896917877617,0.7505573431161641,0.7552349710682011,0.7597372615938586,0.7642714024293129,0.7686360789989403,0.7728539314244398,0.7769368732336002,0.7809006155640617,0.7847773576583973,0.7885539128285239,0.7922437565767616,0.7958515730668174,0.799384463807993
Heating intensity C2 (%),0.6544482939201209,0.6623067541531041,0.6755421012191078,0.6934215682686572,0.6973541089084945,0.7009557836914334,0.7039856793012583,0.7069241944344784,0.7097555089838558,0.7155661505498149,0.7213511227921321,0.7270168992564381,0.732492262539314,0.7376956932380228,0.7426934807708522,0.7474961632814083,0.7522200413691646,0.7569946488111977,0.7619036527974318,0.7676343380969934,0.7732022427043409,0.7786100766425785,0.783834473177177,0.7889047572533636,0.7939602715285731,0.7988612643865939,0.8036151251005876,0.8082148520993628,0.8126719232676943,0.8172147753471705,0.8216222495772058,0.8259044575148523,0.8300708538375838,0.8341247313437241,0.8381046653383836,0.8420297266604241,0.8458315123599291,0.8495648254218091,0.853236071287615
