Occupancy status,Housing type,Income class,Heating energy,Energy performance,Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Landlords,Single-family,C1,Power,G,C1,3786.5254301195205,3640.9854978728276,3499.526000651158,3362.4461816295293,3230.1575699287264,3102.5772492545902,2979.6145160839537,2861.172190904659,2747.147672602239,2637.433623597641,2531.920643790185,2430.496488416263,2333.046793920521,2239.4557192855877,2149.6065100199553,2063.382187176818,1980.6658785708187,1901.3412914275484,1825.2931267843676,1752.4073577645734,1682.571613755584,1615.6752741012037,1551.6096035720614,1490.2677454803502,1431.545212671032,1375.3399886139673,1321.5528675398898,1270.0874876794712,1220.8503699058588,1173.7507013560582,1128.7006809545494,1085.6153935817406,1044.4130052972791,1005.0147032568351,967.344606844614,931.3297570848246,896.900046718825,863.9881493475132,832.5294539627092
Landlords,Single-family,C2,Power,G,C1,2404.513346976627,2297.303166724302,2194.040646202189,2094.840497249494,1999.882856001973,1909.0384807796063,1822.1762163175679,1739.1638569878937,1659.8688210968658,1584.158555386606,1511.9025947739044,1442.9717635991396,1377.2385794697261,1314.577591001239,1254.8656543859424,1197.9823204381116,1143.8099309095646,1092.2338370635487,1043.1425755641453,996.4279582622667,951.985323257607,909.7133080350401,869.5138436059661,831.2920719673277,794.9565342021207,760.4191277598522,727.5952202690064,696.4035782655307,666.7663002394416,638.6086170073495,611.8590093601256,586.4490357861058,562.3133542539832,539.3896112173848,517.6183188797746,496.9427755631422,477.3089582423984,458.6654174900385,440.9631782248837
Landlords,Single-family,C3,Power,G,C1,4446.458955239427,4265.320375696107,4089.8706795235653,3920.4150691173486,3757.3860335730296,3600.6381485589372,3450.01849050286,3305.3682230717554,3166.523862510917,3033.3180843243176,2905.583146340069,2783.149782650139,2665.8480404191537,2553.508007996057,2445.9604428641205,2343.0375696593446,2244.5734077067527,2150.404288284752,2060.369298398339,1974.31056394229,1892.0737233498394,1813.507852973219,1738.465576270923,1666.8030149274348,1598.3802908314894,1533.0615783225962,1470.7154460558181,1411.2148410885447,1354.4370791062172,1300.2635557570625,1248.5800878673404,1199.2767079142138,1152.247827065385,1107.392119152068,1064.6123750162897,1023.8154431216451,984.9121075567899,947.8169663762499,912.4483166031434
Landlords,Single-family,C4,Power,G,C1,1264.294136888815,1199.2271788649534,1137.1530457855688,1078.0688943093,1022.0048088012845,968.8328535659571,918.4274091549562,870.6655626710926,825.4273857803477,782.596070960654,742.0587582641216,703.7061004510512,667.432363063929,633.1354879257924,600.7171225934268,570.0826904015322,541.1413326676168,513.8058985510974,487.9929143334169,463.62251380457155,440.61841610915167,418.90776787596303,398.4210387643157,379.0918871268576,360.8571485886146,343.6567242559177,327.4335375171621,312.1334102970016,297.7049516696062,284.0993899121153,271.270538618579,259.17465470919717,247.77037461285389,237.01859732030306,226.8823665539089,217.32677452598742,208.31885770516328,199.82749698278226,191.82332361614968
Landlords,Single-family,C5,Power,G,C1,521.7806407756099,494.6068898854355,468.7043891147726,444.0693576215826,420.71152205698877,398.5755234653886,377.6071133839122,357.75330479928215,338.96247654340425,321.18441532637615,304.3707331301499,288.4746239393078,273.45089697411305,259.2559947117081,245.84799686906476,233.18664985563547,221.2333309639674,209.95104107095017,199.30438872832863,189.25955792483143,179.78431510842813,170.84790248314258,162.4209912487677,154.47562285124803,146.98520029384287,139.9244366286863,133.26933616684607,126.99714145369276,121.08628274529856,115.51630632100849,110.26786074255261,105.32263103530519,100.66330982304233,96.27354782915843,92.13790339283476,88.2418008523742,84.57148584888428,81.11398254751286,77.85705333345712
Landlords,Single-family,C1,Power,F,C1,1058.7420916038577,1114.1773825385344,1161.752815348443,1202.4966295206134,1237.8971132141098,1268.3274207205127,1294.2250955870372,1316.0833413533726,1334.4758241312506,1348.9613493604281,1359.7479299956933,1367.049103935623,1371.0870179301576,1372.0932094542416,1370.219196775421,1365.6620147705155,1358.576929465171,1349.082902398919,1337.2708969950093,1323.0184627686103,1306.5290351892995,1287.996527424441,1267.605582689849,1245.5319131021856,1221.9551766542334,1197.0306682330397,1170.9053667677026,1143.718202436179,1115.6003081912615,1086.633144954456,1056.9413565333903,1026.6416062697174,995.8427566586831,964.6462419994608,933.1456995573332,901.4288973942059,869.5771713805489,837.6657535082419,805.764098123803
Landlords,Single-family,C2,Power,F,C1,3061.007870152493,3025.2361617234187,2984.8380104329617,2940.687088926953,2893.957850104052,2844.97403662596,2794.0868489536465,2741.66916562847,2688.129542913462,2633.2663979576,2577.258690853656,2520.2813840800814,2462.5074151957447,2404.108266199141,2345.203309142558,2285.93252404318,2226.4072357645496,2166.7141979693583,2106.92109812759,2046.976966908687,1987.0053206733946,1927.1204106779444,1867.4276826550624,1808.0242074965786,1749.0065007401693,1690.4546638931859,1632.4419746609656,1575.0352653939026,1518.29528329416,1462.2557711233733,1406.9708032354129,1352.488778816086,1298.8527893901355,1246.100953744145,1194.2664140264214,1143.3783399679892,1093.4618257219554,1044.538165999335,996.6251287958017
Landlords,Single-family,C3,Power,F,C1,2948.7772796828963,2963.205995092373,2968.73006730727,2966.705468508349,2959.0347926368927,2946.2103252281468,2928.7908901311525,2907.3917776647677,2882.7125084805616,2854.2867325517113,2822.3878474864587,2787.2908263232353,2749.2757560175464,2708.6287135280177,2665.540619773761,2620.250826398011,2572.9487225346957,2523.7806819548327,2472.860045398286,2420.063345828914,2365.6246080332835,2309.7645576148807,2252.691109518985,2194.5998989515647,2135.690477952641,2076.1317416415523,2016.0818109697968,1955.688483928925,1895.089663555621,1834.3684098573863,1773.6532769932624,1713.063057357477,1652.707168795035,1592.6861562601523,1533.0915260831323,1474.0076128819226,1415.5112242306,1357.6720706628378,1300.5531877339465
Landlords,Single-family,C4,Power,F,C1,1321.661898442881,1311.1406457950245,1297.2359830848848,1280.4798152125672,1261.543934402325,1240.6712224053574,1218.1125782516795,1194.1239525116098,1168.9729636322897,1142.6202194144723,1115.2122211298795,1086.8893963302546,1057.7871168621598,1028.036025454819,997.7375978845374,967.0002108048909,935.9155096466703,904.5608020216378,873.0020241361163,841.2484331728579,809.3869487892558,777.4974190928368,745.6530290734579,713.9206964000618,682.3654578811233,651.0419669470225,619.9998186099533,589.2838630401776,558.9345221888036,528.9788640878628,499.45137094763885,470.3826438334391,441.7996688884709,413.7260764910671,386.18229479363686,359.1859764564826,332.75210054880523,306.8931754061971,281.6194328229853
Landlords,Single-family,C5,Power,F,C1,967.6098004756702,950.7816885453217,932.7880504117094,913.8715021570407,894.3366276210235,874.2852431678479,853.821276251899,833.0496002019245,812.0786944310034,790.8927684778397,769.5502853411983,748.1065965782309,726.6143946040819,705.1238820870569,683.6731335497243,662.3025067684587,641.0453240201534,619.9289049792047,598.975811806216,578.1862896030218,557.5906430089447,537.2161543255359,517.0872767166748,497.2258080336497,477.65267621135825,458.3846257899803,439.4363666569106,420.8207205884379,402.548759752417,384.62642322336757,367.0624613434442,349.86412465604,333.03729747068707,316.58660783559253,300.515492548082,284.8263669838315,269.5206719411186,254.59895615693557,240.06095610189422
Landlords,Single-family,C1,Power,E,C1,2424.084521822404,2461.2125643238282,2499.4452576119297,2538.245519242908,2577.050513007767,2615.682404432441,2653.9970361393466,2691.8918063360998,2729.3278135364553,2766.0347410885406,2801.8850866616144,2836.765083338492,2870.5772646151677,2903.2433818587924,2934.6652778742377,2964.7769159323952,2993.50706915725,3020.7745242542333,3046.4851557015495,3070.3958397228967,3092.4701665804723,3112.682350310433,3131.016894173421,3147.468348324795,3162.056741347848,3174.7922165663563,3185.6920160831282,3194.7797870126883,3202.0848561278513,3207.604806997475,3211.383219751135,3213.4673022820853,3213.9067981234875,3212.753471345898,3210.060534833958,3205.882385321306,3200.2740482411164,3193.2908266905893,3184.9880138377675
Landlords,Single-family,C2,Power,E,C1,3003.12457300168,3079.126716266639,3153.1318666982047,3224.874390345849,3294.179428390585,3360.95013258413,3425.131217384112,3486.7163361816188,3545.7756170827793,3602.029710060333,3655.425392030477,3705.925697196407,3753.5127537436615,3798.1908233979325,3839.933315293561,3878.754580004373,3914.6589082336823,3947.635885189922,3977.658038200123,4004.5110041686526,4028.2449998232823,4048.9187594037553,4066.5990371302732,4081.3602258834703,4093.303707520038,4102.513084376039,4109.0759878942345,4113.083293440706,4114.628325288304,4113.762451363726,4110.588623711741,4105.209895159501,4097.728340802958,4088.2446605894033,4076.8577753683476,4063.66461857715,4048.7597473974124,4032.235140762366,4014.180067353799
Landlords,Single-family,C3,Power,E,C1,2538.1319146321553,2629.6686986660807,2720.608874815976,2810.3632140528894,2898.3829473302353,2984.470476969505,3068.4822688842587,3150.339887558788,3230.065582655016,3307.2652007416677,3381.8081357591423,3453.585168307482,3522.512326479477,3588.5351425364183,3651.562330033739,3711.554932236421,3768.4628611918033,3822.2181127434105,3872.730995760066,3919.6703762880657,3963.04294344284,4002.8689799916833,4039.1817866486094,4072.027269216796,4101.489861470055,4127.633277309593,4150.529218804263,4170.256349054068,4186.899232824026,4200.489269046364,4211.128336907413,4218.921133690866,4223.973631889397,4226.392434144133,4226.284189359828,4223.755040145743,4218.910056073546,4211.854307325605,4202.692056223181
Landlords,Single-family,C4,Power,E,C1,2266.0045615249055,2292.8661879635997,2318.8753303156773,2343.872797122818,2367.7444842799982,2390.4255320723773,2411.8722683592086,2432.0653035724663,2451.021570523968,2468.6047976323057,2484.7815727926913,2499.52768977557,2512.829219252045,2524.683622777004,2535.0762989620584,2544.012175378263,2551.493352643197,2557.517266471301,2562.075928212456,2565.085123448197,2566.574088142849,2566.5767106410276,2565.131152413067,2562.279503293752,2558.076222989397,2552.568154761971,2545.8078036247757,2537.8452831916993,2528.7317434511356,2518.5027274187532,2507.213409897988,2494.918729559709,2481.672910152935,2467.529247601689,2452.539940910739,2436.755889552927,2420.2265723520377,2402.9999547132606,2385.1224336191003
Landlords,Single-family,C5,Power,E,C1,1205.1264890188554,1225.408634577801,1244.8850231974914,1263.5070602565095,1281.2622953430405,1298.1292127547326,1314.0982322965476,1329.1734909488634,1343.3803446764869,1356.64410020092,1368.9564300089085,1380.3138408289192,1390.71837413638,1400.1783322466279,1408.6934331557493,1416.2750015835381,1422.9317186673604,1428.6685245760957,1433.4861573084813,1437.3357902596715,1440.2405216279185,1442.225607531285,1443.3182832725195,1443.5476117102896,1442.9498819777612,1441.5560208882487,1439.3977112208086,1436.5071560168549,1432.916845742538,1428.6483293343533,1423.7366761454075,1418.216813406784,1412.1219215924743,1405.484413988266,1398.3358678066115,1390.7069155521579,1382.6271958406778,1374.1253163048177,1365.2288371136597
Landlords,Single-family,C1,Power,D,C1,377.5147204297169,401.7935227820984,427.07095326785196,453.181255229212,479.83156241011886,507.02193406756743,534.7547939761467,563.036760619704,591.8805893973791,621.285475036525,651.246771030048,681.7586173143801,712.8143515303287,744.4070724960803,776.5259808158901,809.1602256378236,842.295383494811,875.9114972860932,909.9811153201604,944.4460825890708,979.2660233454602,1014.3976634168461,1049.7948616042995,1085.4086434456526,1121.1913762469994,1157.0904609774052,1193.0520892820964,1229.0216490931025,1264.9441526696312,1300.7530669381865,1336.3923681842314,1371.806852464188,1406.9427947915667,1441.7481868710288,1476.1728890355973,1510.168953672267,1543.6907704448531,1576.6951863215825,1609.1415664433769
Landlords,Single-family,C2,Power,D,C1,678.3722113536595,708.283095904307,739.4584030259457,771.6696192906086,804.5531867581104,838.0939567347774,872.2802395805255,907.105834045568,942.5721589025786,978.6622836530612,1015.3567502599956,1052.6350777491746,1090.476230684902,1128.859259304222,1167.758562208168,1207.1490741007874,1247.0016736976418,1287.280956617875,1327.9430622595246,1368.906952815221,1410.1164575982766,1451.5128887458732,1493.0351646083548,1534.619954110975,1576.206930733861,1617.730739384211,1659.1257657938188,1700.326624868951,1741.268655822154,1781.8740473764358,1822.0795686924687,1861.824028605838,1901.0489175188266,1939.6986106133584,1977.720473763351,2015.0651406287966,2051.686582862517,2087.5421577492075,2122.5925915724656
Landlords,Single-family,C3,Power,D,C1,1576.8145019381293,1600.1902529977715,1625.235617505992,1651.6820397393528,1679.0750939507188,1707.4052327900592,1736.6662365403288,1766.8578750734557,1797.9886298601964,1830.0477222896675,1863.0186887653515,1896.8834011130634,1931.622668321179,1967.2170477533336,2003.6415493920097,2040.871283613843,2078.876393031175,2117.619300729433,2157.0519793483995,2197.082732224162,2237.645968702554,2278.672410665919,2320.0891709285956,2361.819828979384,2403.7907063617213,2445.921412112984,2488.130464543563,2530.3358824123106,2572.455801711797,2614.392498557898,2656.0640782389323,2697.3904635493936,2738.2943078496364,2778.701300310378,2818.5403764768516,2857.7440792798775,2896.248745926221,2933.9946695289873,2970.9261547670667
Landlords,Single-family,C4,Power,D,C1,2370.3585967930653,2377.0959338496887,2384.312237464161,2391.908368784517,2399.7280235706326,2407.763252685857,2416.007512504971,2424.4566302934036,2433.110080743846,2441.9561450487904,2450.983703702516,2460.181013895905,2469.5359667324924,2479.036435521039,2488.6676968713696,2498.4154187456265,2508.2631569607174,2518.191317635556,2528.176151134259,2538.174615148104,2548.158201509754,2558.097417745198,2567.9618986106384,2577.7205271452376,2587.344115844331,2596.801251335776,2606.060770965618,2615.0919840691736,2623.864892066334,2632.3430953612633,2640.4981632946497,2648.3029826304005,2655.732007819861,2662.7613416607305,2669.3687621299437,2675.5338394384958,2681.237933343418,2686.4641914934346,2691.197523607714
