,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.526365142628755,44.708762678031526,43.96773753077153,43.29254715949221,42.67393333932488,42.104402890660694,41.57795920360275,41.089336648854534,40.63421170913023,40.20877620469669,39.80974693169681,39.43454533023179,39.080561057809945,38.74654343024088,38.43139251364242,38.13321063930577,37.85261399161049,37.59155623227458,37.34204376991263,37.10128241132673,36.86720200564849,36.639783243261185,36.418335612565414,36.20208415854594,35.991418465740274,35.7851349020184,35.58231201147619,35.38211011509159,35.18518036513734,34.9905743875693,34.798430910337984,34.609269553705815,34.421949311088234,34.23670842063024,34.053816836267195,33.873469975915484,33.69984614194574,33.52899691898539
Consumption conventional (TWh),449.76774310273885,438.99737772531745,429.0414440427732,419.81313104782674,411.21836553218105,403.1772134209056,395.6244235737541,388.50686319326945,381.7783166831906,375.3999913793466,369.3378461748545,363.56222518634826,358.0488292485384,352.7739858090975,347.72684486964596,342.8994743451366,338.270346477352,333.8482932589751,329.6476874980688,325.60240273574584,321.6892409282452,317.8871926840299,314.2140847789432,310.6417031855191,307.16226665375734,303.77969098181023,300.47866507252934,297.2500203716686,294.08491625195677,290.99177512193256,287.957902699516,284.9818048530895,282.0675379087107,279.21531442703844,276.44060463702317,273.71505751908364,271.03916914842773,268.4436351873574,265.8966501829468
Consumption actual (TWh),299.31913671610755,295.68000909650425,292.2995550194554,289.1571936780094,286.222555818479,283.4672852810462,280.8691914775201,278.4114355079499,276.0783893348127,273.85753032000423,271.737388693173,269.7079177150827,267.7621848596404,265.8915374852331,264.09439412466753,262.3691225958929,260.7094871863841,259.1232821629654,257.62208551446423,256.171876189246,254.76032887828418,253.3792860189649,252.04323648309418,250.73518163578942,249.4495071949439,248.18993238376606,246.94906095725375,245.7212385558283,244.5026986039352,243.29652999363086,242.09795602917023,240.90767991857933,239.7281312557321,238.56432823544114,237.4269745562898,236.29884441485126,235.18114447342285,234.09472303373423,233.02066937572636
Consumption Power (TWh),45.59905051094946,45.43502914920795,45.262371179959125,45.08292034055967,44.898514733587845,44.71020342474926,44.51891833790208,44.32554794651926,44.13064837157982,43.934736943875535,43.73814503650781,43.54113070873879,43.34407047844567,43.14702493458333,42.950342207426715,42.75423493637042,42.55882307017343,42.36474747561166,42.17278250805453,41.98314896884642,41.795868450483155,41.610692666325946,41.43398577819039,41.263127213057516,41.092717252466414,40.93065814050079,40.769454754064355,40.60751253271922,40.4448587448079,40.28139089634602,40.11707325685487,39.951984185035776,39.786276094203636,39.6201026746223,39.456047354745074,39.29394223117466,39.13146343118052,38.96869643071896,38.80572144577558
Consumption Natural gas (TWh),122.4689290747837,120.52952346048816,118.76449446082388,117.14498868458494,115.6497429310816,114.26090075342437,112.96444524415044,111.74938075339132,110.60618946432868,109.52711190982284,108.50533894483327,107.53502868995011,106.6116159505306,105.7304276632137,104.89111472092337,104.09423100907269,103.3358192839744,102.62221982436625,101.95380367490459,101.30722339570842,100.67317181851065,100.05056000886886,99.43788202942983,98.83473866221638,98.24371191683659,97.66155162476659,97.08927709752675,96.52516412480507,95.96550386454003,95.4147315432164,94.86867198448668,94.3268946308933,93.78953974368245,93.25559854321567,92.72489474453036,92.19781091452492,91.67748477844788,91.1836255324981,90.698077759177
Consumption Oil fuel (TWh),56.4821825324762,54.62978092043767,52.990459393417574,51.53222286949994,50.229786334160714,49.06131935760508,48.00878758522188,47.05751509585505,46.194641646497935,45.409532804492684,44.69287372552879,44.036628433285266,43.43437005507686,42.87981250916102,42.36837879013291,41.89546637657078,41.45687231139177,41.049873323126846,40.680997351315426,40.33759176364685,40.016104470599316,39.70980245772867,39.41609917416455,39.13421770459734,38.86246510841174,38.600172928525424,38.34639498675936,38.099885486597735,37.86023292624289,37.62666106949534,37.39873288221836,37.177233172120644,36.963898187560616,36.7551509074703,36.550534733905586,36.35086537532648,36.155890519905846,35.96661411478444,35.781652242150095
Consumption Wood fuel (TWh),74.76897459789816,75.08567556637048,75.28222998525484,75.39706178336486,75.44451181964884,75.43486174526747,75.37704031024568,75.27899171218428,75.14690985240624,74.98614866181319,74.80103098630312,74.59512988310858,74.37212837558721,74.13427237827501,73.88455840618454,73.62519027387903,73.35797252084453,73.08644153986063,72.81450198018968,72.5439120610443,72.27518413869106,72.00823088604146,71.7552695013094,71.50309805591819,71.25061291722912,70.99754968997328,70.74393411890328,70.4886764117063,70.23210306834436,69.9737464845731,69.71347790561029,69.45156793052963,69.18841723028541,68.93347611013284,68.69549772310874,68.45622589382518,68.2163057438886,67.97578695573273,67.73521792862368
Heating intensity (%),0.7332466914484328,0.7455743278404406,0.7572923606489673,0.7684385078758945,0.7790856282106658,0.7892684213782414,0.7990278906639907,0.8084107597276645,0.8174478432450759,0.8261716058901308,0.8346060145364333,0.8427724647443089,0.8506999497578922,0.858400485796595,0.8658972483547054,0.8732017845129574,0.8803221360770447,0.8872795932850083,0.8940690507461018,0.9007131328423609,0.9072228349638066,0.9136036308083926,0.9198412837226452,0.9259508817237374,0.9319297601501013,0.9377723508239585,0.9434928942266338,0.9490872421858259,0.9545664725090246,0.9599295338181126,0.9651830315851572,0.9703347710976336,0.9753911813785519,0.980364423906358,0.9852534107374463,0.9900710202363425,0.9948278830264755,0.9995175919810538,1.0041538937048424
Heating intensity C1 (%),0.583986048064517,0.5979259299944024,0.6111955120708269,0.6238147155344173,0.6358618337107098,0.6473645389592897,0.6583643628543203,0.6689147686170428,0.679048061657398,0.6888014608807549,0.6982010968798013,0.7072709629790247,0.716046915441734,0.7245409709495002,0.7327843995073334,0.7407927656365825,0.7485739654591548,0.7561602595746023,0.7635508326513801,0.7707569298890511,0.7777892913427334,0.7846512398822657,0.7913354836365762,0.7978571802463069,0.8042085883566746,0.8103932837987288,0.8164197854185652,0.8222808487603649,0.827989054287884,0.8335469665254103,0.8389615958988917,0.8442442694219421,0.8494056323783553,0.8544604238851805,0.8594132046078921,0.864277442829697,0.8690539126545248,0.8737460737571251,0.8783730771329403
Heating intensity C2 (%),0.6544482939201209,0.6674759556056159,0.6798995013330781,0.6917433825522522,0.703075651514025,0.7139221276302472,0.724320090281188,0.7343158371108672,0.743938816698383,0.7532218189190595,0.7621882585005486,0.7708596297672071,0.7792675420737305,0.7874233402770839,0.7953541886839504,0.8030743402236966,0.81059122668548,0.817933109271874,0.8250999689974683,0.8321015394134467,0.8389468862364938,0.8456394437315815,0.8521732117930542,0.8585615228988821,0.8647841816689602,0.8708514929290683,0.8767763802316368,0.8825531878030316,0.8881936648537759,0.8936873989621898,0.8990497967914043,0.9042920882017154,0.9094184629812354,0.9144520098466482,0.9193964803110308,0.9242636924265258,0.9290647607331964,0.9337985391465683,0.9384719941351032
