Occupancy status,Housing type,Income class,Heating energy,Energy performance,Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Landlords,Single-family,C1,Power,G,C1,3786.5254301195205,3642.051477477725,3503.4532280050985,3370.4891412922016,3242.9276737755736,3120.5468655663494,3003.13394405741,2890.484943616982,2782.4043408084085,2678.7047044990936,2579.206362837446,2483.7370735750537,2392.131723553433,2304.2320350939362,2219.8862666469618,2138.9489568606095,2061.280659187751,1986.747690357333,1915.2218897472108,1846.580393433709,1780.7054102568184,1717.4840139004455,1656.8079383827512,1598.5733842900472,1542.6808363108955,1489.0348789552118,1437.544030437671,1388.120578779665,1340.6804249752843,1295.1429321767378,1251.4307807482592,1209.469832896475,1169.1889983707472,1130.5201091338802,1093.3977979407189,1057.7593817325785,1023.5447490848835,990.6962557005373,959.1586266493294
Landlords,Single-family,C2,Power,G,C1,2404.513346976627,2297.97551589333,2196.500209059895,2099.842751165174,2007.770454821041,1920.0620288109599,1836.5070154357823,1756.9052555104408,1681.0663797561206,1608.8093252767032,1539.961878800846,1474.3602308462139,1411.8485696457608,1352.2786888636963,1295.5095950464547,1241.4071690319952,1189.8438218719507,1140.6981710993334,1093.8547336444308,1049.20363904569,1006.640349004565,966.0653980546975,927.3841415589434,890.5065186225149,855.3468301240771,821.8235180310728,789.8589665442771,759.3793082272994,730.3142400063603,702.596847787388,676.1634393756584,650.9533891966851,626.9089861549953,603.9752923742523,582.1000076182634,561.2333401845027,541.3278834170322,522.338501542977,504.22222334747556
Landlords,Single-family,C3,Power,G,C1,4446.458955239427,4266.568978909282,4094.458569146255,3929.7866740809404,3772.22734275714,3621.469054796048,3477.214079469609,3339.1778628751167,3207.088442120524,3080.685885322878,2959.721760239491,2843.958610617166,2733.1694796695215,2627.137446254809,2525.655154579246,2428.524412039088,2335.555774476163,2246.568154325044,2161.388446982635,2079.8511809000183,2001.7981722431812,1927.07820504254,1855.5467178119652,1787.0655075316736,1721.502451654162,1658.7312286068584,1598.6310663343281,1541.0864951150563,1485.9871117847995,1433.227353752971,1382.706282527359,1334.3273820764523,1287.9983595320193,1243.630959714716,1201.1407860270183,1160.4471289953187,1121.4728013144672,1084.143985087336,1048.3900892715105
Landlords,Single-family,C4,Power,G,C1,1264.294136888815,1199.5780148098324,1138.4268324419645,1080.640129915145,1026.028924859671,974.4150461509147,925.6305065748061,879.5169121170802,835.9249058061649,794.7136440686064,755.7503058723433,718.9096218275398,684.0734441395065,651.1303368484978,619.9751756276995,590.508796340235,562.6376477174873,536.2734667866429,511.3329737062734,487.73758798645235,465.41315567031455,444.2896974913745,424.30116781968536,405.385229339559,387.483043104172,370.5390641772817,354.50085655322795,339.3189153098567,324.94649930201336,311.33947373490076,298.45616121878084,286.257203734527,274.7054296110097,263.7657303584074,253.40494375489055,243.59174352744233,234.29653491620593,225.49135826196158,217.14979944449334
Landlords,Single-family,C5,Power,G,C1,521.7806407756099,494.7515827558033,469.22922857377336,445.1278591527623,422.3667189194065,400.86972466605465,380.5651915668001,361.38557533127675,343.26722957845374,326.1501775268822,309.97789807970156,294.69712084089457,280.257638870384,266.6121304374925,253.71598522545554,241.52715151009082,230.00598542852384,219.11511018635179,208.81928376649975,199.08527594543725,189.88175020691529,181.17915474777092,172.94961827009456,165.16685262092582,157.80606210913135,150.84385537717333,144.25816555549173,138.02817370368192,132.13423681606494,126.5578199096277,121.28143198904458,116.28856671578522,111.56364520672219,107.0919632082262,102.85964106945642,98.8535764655053,95.06139967903631,91.47143232253231,88.07264900258063
Landlords,Single-family,C1,Power,F,C1,1058.7420916038577,1116.3994412017782,1167.6413838409294,1212.8617466706376,1252.4340152074885,1286.7123023791714,1316.0322737023143,1340.712030478376,1361.0529528354118,1377.3405043540604,1389.8450011547434,1398.8223411754147,1404.5147066347395,1407.1512333584267,1406.9486372966035,1404.1118310105066,1398.8345002945614,1391.2996551258861,1381.6801549127767,1370.1392140646074,1356.8308768981958,1341.9004772821947,1325.4850710699332,1307.7138504658633,1288.7085440561837,1268.5837840255058,1247.4474713292682,1225.4011172024148,1202.5401687911776,1178.9543181681252,1154.727795268686,1129.9396546141893,1104.6640384477378,1078.9704347646182,1052.9239201640867,1026.5853902192562,1000.0117758790944,973.25625953469,946.3684910401732
Landlords,Single-family,C2,Power,F,C1,3061.007870152493,3026.9625780929246,2989.8852253280284,2950.0736571862512,2907.8064096383487,2863.3438092100887,2816.9290139503846,2768.7889984678627,2719.135485928809,2668.1658297473323,2616.0638491913974,2563.0006134727737,2509.135192098117,2454.615363180135,2399.578267069966,2344.1510493434644,2288.451453391542,2232.5883817934455,2176.662426570285,2120.7663763854293,2064.985686291228,2009.3989304506545,1954.0782221676036,1899.089613345821,1844.4934782520027,1790.3448575543637,1736.6938028074899,1683.5856931830647,1631.0615346431257,1579.1582406183554,1527.9088949159527,1477.343009534449,1427.486755021018,1378.3631871413402,1329.9924568841802,1282.3920072660874,1235.5767550418848,1189.5592746304285,1144.3499844498135
Landlords,Single-family,C3,Power,F,C1,2948.7772796828963,2966.0408819051477,2976.5794082675848,2980.8804407410735,2979.403975647442,2972.583837079258,2960.829021798938,2944.524978773135,2924.0348263935575,2899.7005102770145,2871.8439063908677,2840.76786253474,2806.7571994767977,2770.0796613791085,2730.9867997431575,2689.7148444165973,2646.485512899052,2601.506781133885,2554.973615717795,2507.0686772915,2457.962977225023,2407.816512605139,2356.7788600819727,2304.989743395926,2252.5795805620132,2199.669980788308,2146.3742408732624,2092.7978060466285,2039.0387078195727,1985.1879776104217,1931.330036980383,1877.5430803034044,1823.8994218608473,1770.4658370595976,1717.3038815146203,1664.4701922966894,1612.0167689270959,1559.9912559117263,1508.437227160873
Landlords,Single-family,C4,Power,F,C1,1321.661898442881,1312.0042979392194,1299.7093847734893,1285.0297285302563,1268.2002048324373,1249.4391214198376,1228.9492752173487,1206.918944525812,1183.5228202500589,1158.9228798300235,1133.2692087782332,1106.7007660052323,1079.3461097921152,1051.324077816407,1022.7444109003895,993.7083603194577,964.3092440327997,934.6329695473568,904.7585240815624,874.7584396256657,844.6992207853345,814.6417537587363,784.6416831810188,754.7497678196927,725.0122196521005,695.4710059072879,666.1641491067289,637.1260004242733,608.3874959858659,579.9763972642493,551.9175136216592,524.2329190988401,496.9421445586612,470.06236561961805,443.6085754631569,417.59374562114886,392.0289732882946,366.9236298633915,342.28551086813457
Landlords,Single-family,C5,Power,F,C1,967.6098004756702,951.1950073891678,934.0440517066952,916.2530983486679,897.9110411621255,879.0999827644729,859.8956842946579,840.367986905494,820.5812067321477,800.5945049604895,780.4622351459645,760.2342661850031,739.9562882153941,719.6700986472991,699.4138639261503,679.2223741496815,659.1272757013329,639.1572895244985,619.3384153446368,599.6941251144476,580.245540507706,561.011602342539,542.0092262633317,523.253449400771,504.7575699600788,486.533271006208,468.5907434556773,450.93879795069506,433.5849695159158,416.53561476358226,399.79600201937785,383.37039907487514,367.26215004254726,351.47375098194874,336.0069195620015,320.8626592479209,306.0413178260607,291.5426465512614,277.365859977238
