,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.70392475422083,45.62535380298304,46.146399079578764,44.88132885305219,43.63934442005763,42.394535975387086,41.19061779025008,40.02326544115473,39.23718939672339,38.50742411290626,37.82097559875126,37.16637292069316,36.532951028800454,35.926530957286076,35.3424619496973,34.78945142353139,34.27523947198379,33.80715189159739,33.43558017469123,33.07894005546636,32.73566064776827,32.40333479874896,32.08282628873598,31.780143292715124,31.486036786620563,31.19975250074326,30.920915959948324,30.648543559892673,30.399154083964483,30.156119867182113,29.919043507546515,29.687367373877024,29.463713048448938,29.24731032098389,29.03596514120588,28.82946940332303,28.62755625536511,28.430001350651494
Consumption conventional (TWh),449.76774310273885,439.1997185619918,429.9540698794808,422.1026054561636,414.4816014584724,407.05747420622106,399.7893314544177,392.65746587869114,385.64579707941425,378.9097052725734,372.44035774981256,366.2228092770165,360.24173107028463,354.47815434129564,348.929357327143,343.5914497779806,338.46302823656737,333.54762138946177,328.856606205951,324.33425831587107,319.97998753047074,315.78660321416254,311.7361896764386,307.82605411691776,304.0284989323643,300.3348055786318,296.73688669762475,293.2369405604623,289.82024097188,286.488524546376,283.23950739057045,280.06660832893226,276.99763507928014,274.02376873915154,271.1163591198494,268.2716890681977,265.4868992710994,262.64580209018226,259.99803341284934
Consumption actual (TWh),299.31913671610755,294.30354176450203,293.33157657558337,296.7873009386556,291.047810223821,285.5039782146911,280.0138500200945,274.75551088250717,269.6904929636132,266.1972258042785,262.90751678930326,259.7665700886202,256.72844750926123,253.75064589274908,250.85266269113598,248.03132470698034,245.33076261826153,242.79106101558833,240.44823420851387,238.50734520033893,236.61580764858272,234.77749385088154,232.98389029073036,231.23336304586664,229.56181582122164,227.91660596318823,226.2950086865727,224.69570963823134,223.11495931378352,221.6187755602995,220.14080382043196,218.6800412924878,217.25561429391772,215.86555654307077,214.5003780812483,213.15036944884253,211.8160657390263,210.40945585891205,209.1212286066968
Consumption Power (TWh),45.59905051094946,44.565156007095986,43.56551499047709,42.70860585375405,42.195511376896455,41.72576159363549,41.298043054263594,40.90968820609262,40.558422033080824,40.222908413553185,39.9007460899195,39.5903347685879,39.29089406244125,39.00192091380616,38.722845191935335,38.45333864018399,38.192578638348195,37.93994832526008,37.69434457898368,37.450823666737364,37.21119267231474,36.98176276007783,36.75332859658363,36.531558978066904,36.31007667541115,36.08757373171197,35.86410293327682,35.63965600844999,35.41434494701318,35.187382354546614,34.962289980529455,34.73633270331226,34.50882985303788,34.28013077476361,34.0503179440217,33.82070208592439,33.59215347573522,33.36331185170852,33.13439685618884
Consumption Natural gas (TWh),122.4689290747837,120.48699680576212,120.37345349955531,119.97999404255401,117.18521534524157,114.46324605246471,111.69324471675233,109.0229404134785,106.43841607913232,104.59624543414343,102.8833251701388,101.26606698910561,99.71395185645065,98.19816626839327,96.69164949856025,95.22952038685648,93.84201083963113,92.55395854701322,91.38179665262318,90.43705366121873,89.51786702974994,88.62245346945382,87.74961773108863,86.90161561054653,86.14509098339647,85.41028171227208,84.69495813941839,83.99960172254288,83.31995554957325,82.68010754657557,82.05338529984998,81.44243732777706,80.8455928708031,80.27566118711403,79.72960745943222,79.19525914976204,78.67203196605443,78.16024229718198,77.65881959844963
Consumption Oil fuel (TWh),56.4821825324762,55.813384318197784,56.17359430783459,58.879659151388864,56.529640218550306,54.18722105301599,51.84561394880878,49.560161269421414,47.32632115480782,45.95288660750811,44.685898442360376,43.502707386665286,42.383594839859505,41.31042216121846,40.324898875654235,39.38426268550506,38.49911272353708,37.68029618204065,36.94355526184203,36.396776734227146,35.88440731688156,35.398343896900535,34.93577401467775,34.49502453839373,34.05318817711686,33.62781421694867,33.217710085464844,32.821140242968376,32.43751297761717,32.11085310438034,31.79707038224026,31.494307624707965,31.202108651098932,30.920610780129667,30.649135035579942,30.387718563926374,30.135523298451556,29.892101917071958,29.65728205342753
Consumption Wood fuel (TWh),74.76897459789816,73.43800463344616,73.21901377771641,75.2190418909587,75.13744328313264,75.1277495155749,75.17694830026977,75.26272099351463,75.36733369659224,75.42518534907377,75.43754708688459,75.40746094426143,75.34000675050983,75.24013654933121,75.11326912498616,74.96420299443483,74.79706041674513,74.61685796127433,74.42853771506496,74.22269113815571,74.00234062963646,73.77493372444938,73.54516994838032,73.30516391885948,73.05345998529715,72.79093630225552,72.51823752841264,72.23531166427007,71.94314583957988,71.64043255479699,71.32805815781226,71.0069636366905,70.69908291897782,70.38915380106344,70.07131764221444,69.74668964922975,69.4163569987851,68.9937997929496,68.67073009863081
Heating intensity (%),0.7332466914484328,0.7410860494705431,0.7542866115119148,0.7722735983170208,0.775923023555312,0.7792989672671551,0.7821626304001464,0.7849857572088325,0.7877472347554928,0.7934050377610415,0.7990175627804386,0.8044942776776045,0.8097657873171766,0.8147567706704874,0.819525004995004,0.8240868879438852,0.8285572414764122,0.8330572768200302,0.8376745899903182,0.8430737674085118,0.848305781124627,0.8533712174612593,0.8582759090204449,0.8630242697661553,0.867768187474414,0.872366865565063,0.8768283348054239,0.8811460931835439,0.8853327521692779,0.8896002587479851,0.893739155336628,0.8977611794480236,0.9016733861207982,0.9054848048103895,0.9092340946509903,0.9129025008208819,0.9165001538475483,0.9200596857302954,0.9235282165839174
Heating intensity C1 (%),0.583986048064517,0.5930323999182459,0.607104640676598,0.6255709903468346,0.6309661831471797,0.6359423441246914,0.640293680228886,0.6444992199368241,0.6485611618566585,0.6553307129557261,0.6619926676158501,0.6684624489219391,0.6746797798773388,0.6805714103948712,0.6862025686247993,0.6915879584966316,0.6968369244085977,0.7020711824826312,0.7073701959787496,0.7133635930641199,0.7191380484562386,0.724701531006509,0.7300501960371182,0.7352023964068316,0.7402863431677977,0.7451737323076146,0.7498757565897293,0.7543852325751628,0.7587183800592989,0.7630916728332057,0.7673026602121146,0.7713534422189825,0.7752608521392171,0.7790498938587475,0.7827504111555724,0.786348841326757,0.7898597896774829,0.7932876128272205,0.7966452869418927
Heating intensity C2 (%),0.6544482939201209,0.6630776948217609,0.6768600102925417,0.6950810503212123,0.6994339703635971,0.7034593726672348,0.7069215358731866,0.7102969565916614,0.7135649478037831,0.7197341129743584,0.7258299380878518,0.7317630564691369,0.7374652767653583,0.7428595235714731,0.7480106308471582,0.7529333182916771,0.7577449060964773,0.7625718302354324,0.7675027338204577,0.7732073086455535,0.7787210220385218,0.7840532165231808,0.7891959692908015,0.7941514482117134,0.799077842379301,0.8038366394867037,0.8084368984773962,0.8128615721833875,0.8171341344272873,0.8214737985778517,0.8256740572093195,0.8297499965567916,0.8337113926316635,0.8375715121605596,0.8413613517053679,0.8450532255898217,0.8486591405071311,0.852197276174851,0.8556743600769945
Heating intensity C3 (%),0.7312676430021602,0.7387396786633229,0.7519560645009092,0.7700456867471224,0.7733055588037752,0.7763159288921098,0.7788142955262196,0.7812849535542427,0.7836991419986921,0.7890863415651995,0.7944508362330169,0.7996971142081383,0.8047505860255945,0.8095309151816918,0.8140834232892546,0.8184275989446514,0.8227024072942173,0.8270242527049125,0.8314857955706261,0.8367695396739254,0.8418925740411627,0.8468733372935141,0.8517074960927654,0.8564068356238513,0.8611264508444518,0.8657085955854054,0.8701599626777403,0.8744752414869994,0.8786644476965644,0.8829442849877498,0.8870823512517159,0.8911065761046183,0.8950307430225183,0.898863525343266,0.9026337198184654,0.9063302619761237,0.9099629510372443,0.9135277185372906,0.9170195454955643
Heating intensity C4 (%),0.7947980685405481,0.8015335639567541,0.8138575445642026,0.831734626307631,0.8350421814693458,0.8381164104870678,0.8407295386194281,0.8433213146541848,0.8458679987823785,0.8511819027148463,0.8564640531108515,0.8616283426181389,0.8666088599928046,0.871334974925266,0.8758642515701032,0.880212925635365,0.8844728962512095,0.8887702466494888,0.8931979613279589,0.8983852593554349,0.9034330138172921,0.9083423830468578,0.9131186125451334,0.9177381641892036,0.9223621246483783,0.9268618977683097,0.9312462584430427,0.9355140216299594,0.9396730182135377,0.9439221282510227,0.9480662973286235,0.9521111653752105,0.956045594351617,0.9598955150682219,0.9636963539794201,0.9674291010508494,0.9711021610008062,0.9748514443491272,0.9784119429327384
Heating intensity C5 (%),0.8650006350914924,0.8740593788491446,0.8881810524332318,0.906717150783326,0.9101634867538223,0.9133690726135619,0.9160857200905703,0.9188039671834325,0.9214989606777295,0.9272580263964919,0.9329680933328549,0.9385362966644577,0.9438913727340285,0.9489599033291479,0.9538055953824185,0.9584466485776179,0.9629984519197324,0.9675818562166465,0.9722780913165188,0.9777987663443435,0.9831636364414301,0.9883361442045672,0.9933560967380565,0.9982427414464182,1.00314742176616,1.0079222225221238,1.0125731525960122,1.0170960539934821,1.0214996372631142,1.0259931952495702,1.0303696489948386,1.0346357575008738,1.0388008006231961,1.0428381006488028,1.0468186579436365,1.0507216844275333,1.0545558307112433,1.0583236758220227,1.0620303916754208
Stock (Thousands),23972.6396172026,24254.163899013914,24527.7518008499,24792.451919254436,25049.544472663183,25298.435353125198,25539.272182138724,25772.966155413786,25999.669301088168,26219.916498349765,26433.856238703378,26641.6323294985,26844.168704341115,27041.21555521871,27233.69815435373,27421.7550153818,27605.12144237266,27785.120282582477,27961.081629568314,28133.12455902492,28301.363773508587,28465.50570459484,28624.438352584326,28778.658486791508,28927.035714902515,29069.2416566458,29205.351110732463,29334.207898678596,29456.286272263194,29571.239775903654,29679.129528087786,29780.42806577193,29875.609329539373,29965.562406367415,30050.35039247948,30130.864954736597,30208.00042758597,30281.820634855354,30352.803944244093
Stock G (Thousands),3821.034095365701,3573.096288634599,3355.5845456383536,3165.793695296213,2991.8726416763957,2831.8665585974304,2683.9996136579775,2546.922399327297,2419.455431885143,2302.302927246307,2194.434131515699,2094.9079995001025,2002.868763337832,1917.5411294430626,1838.2858890630596,1764.5274970856226,1695.8029839212616,1631.7354082311665,1572.0110973235296,1516.5255980889299,1464.8708942551345,1416.687246411634,1371.6564571891647,1329.4962102481504,1289.9842907194072,1252.8905577283074,1218.0092965642018,1185.1560324236887,1154.1649953233023,1124.9102362453393,1097.2507473367552,1071.0598166362531,1046.2233599476676,1022.6385551263501,1000.2147488216143,978.8671524414369,958.5189226639751,939.100304783458,920.547877993865
Stock F (Thousands),3852.4959984486304,3745.3341320758163,3632.1702858696435,3519.80538603046,3400.658414219797,3276.951796952259,3150.2039444140523,3021.8679145928827,2893.1999400132017,2767.1472189840656,2644.4166165032016,2525.447989592402,2410.508111421282,2299.7411178961934,2193.884068007899,2093.851909025765,2000.571077440192,1914.710562872892,1837.8309069523295,1764.0439688313259,1694.8232802055509,1632.2968067331353,1573.034881650131,1520.3495688029589,1470.1562341000274,1422.0012846262189,1375.5855399209358,1331.7171937122887,1289.5935142934732,1249.4044467991932,1212.6720272869395,1178.4688467578376,1147.3925500614398,1117.7170390508604,1090.081861197515,1064.4810443835265,1040.8604850410734,1018.6200687401961,998.3744892468038
Stock E (Thousands),7189.479522607001,7268.564532597416,7339.334590524341,7400.509485704526,7449.375248214776,7485.911913284108,7510.358961996919,7523.174853671193,7524.840105167403,7517.340320375267,7501.609796511838,7478.236614085835,7447.849296737388,7411.033642745394,7367.739261104249,7317.465948994841,7259.678291078725,7194.031313011281,7119.03655717839,7041.513815384917,6960.118185971531,6872.872425334833,6783.377866536869,6688.403756307238,6592.165797157722,6495.207868313657,6397.933982283845,6299.600866708072,6201.074247609537,6102.295739793199,6001.741690953985,5900.360865996711,5797.5934828110985,5697.773580734737,5597.639077052002,5497.201553186917,5396.511351239295,5285.676984553409,5185.397298368303
Stock D (Thousands),5856.023993071073,5918.366639925736,5974.533104040621,6023.215068330318,6071.102422269288,6117.676297261929,6162.472621221208,6204.90825806544,6244.494921856078,6280.370928809645,6312.323626099729,6340.4881041546,6364.929657229362,6385.674380405829,6402.781530847442,6416.393995834333,6426.635966509701,6433.683518379073,6437.781449376272,6438.97307868285,6437.747528550779,6434.03046242443,6427.930001551023,6419.553018116239,6409.026770290331,6396.436533526461,6381.874473543859,6365.415738626182,6347.145332874105,6327.180907807041,6305.609631199068,6282.496465227534,6257.904487431876,6229.328456239151,6199.476338327207,6168.400904458137,6136.1639111936265,6113.191384336911,6078.351663821292
Stock C (Thousands),2815.8020815271893,2882.97135679058,2941.03942537804,2988.9419625132027,3038.799670372689,3090.652822811337,3144.642381548942,3200.5341746434838,3257.9900371182875,3313.5975957742053,3367.0749789996653,3418.3410680530696,3467.329493114534,3514.0790702960467,3558.5462215600974,3600.796115968085,3640.858437197011,3678.747917768896,3714.6277079014453,3748.2225303735795,3779.3594096268625,3808.35558869685,3835.2815919810296,3860.2714857936126,3883.3666562477806,3904.656845813931,3924.1811249692814,3942.020940495861,3958.2227221233134,3972.798482736841,3985.832102472649,3997.38700515274,4007.500166479271,4016.190901371742,4023.494205216244,4029.472372412878,4034.161465837132,4037.717152564635,4040.0504894287387
Stock B (Thousands),404.56070703000006,455.9549055309152,506.1417549184167,554.761373798378,604.4077017037131,655.2308927888337,707.4618620133782,761.255389018691,816.7688427272412,872.9224954731801,929.6002257332143,986.6590999594888,1044.0463684468386,1101.7203095151835,1159.608018121571,1217.6198610261974,1275.7320704687625,1333.7965706221214,1391.6766713886366,1448.9471304671742,1505.5777041000417,1561.5446029609388,1616.827471575593,1671.3913927167393,1725.201970438054,1778.2355052017622,1830.4758927469186,1881.8975403676145,1932.4968831132758,1982.1880191373484,2030.9570805129626,2078.8038847288017,2125.723123125017,2171.712629957489,2216.7663724055055,2260.8615172307714,2304.013115620067,2346.21440463852,2387.4509145120437
Stock A (Thousands),33.243219153,44.447522987322955,56.32110542868076,68.77990731813786,82.56445804793418,97.75454518692572,114.45807098406631,132.77687923905978,152.82055481413963,174.30485250129013,197.2290116135451,221.592640513386,247.41197035606658,274.70671038022,303.4856383287675,333.790146298015,365.5610884573911,398.8076844848502,433.4978374929622,469.46349024779516,506.69569883506733,545.1833985013456,584.9138685694516,625.8811295816421,668.0411296477707,711.3798423892098,755.8853004545313,801.5434918048293,848.3283816403922,896.1896581897076,945.1118247288307,995.071107125592,1046.0464180083322,1098.0230851128947,1150.974802845688,1204.887599818058,1259.7282946609414,1315.4823952270822,1372.1339520412132
Stock BBC (Thousands),0.0,213.65001895088918,422.4269964117239,625.8239498601167,824.601422953232,1018.4178324878512,1207.3619003381398,1391.9626875498907,1572.3116571668006,1748.7240454367818,1921.2879263064226,2090.0893716306305,2255.6629754938385,2417.866711841853,2577.2373550138527,2733.856450993754,2887.5724729638355,3039.151665796019,3188.2090939965537,3334.813663529088,3479.033754106532,3620.7009876587504,3759.174353822489,3894.742216519364,4026.7533433753815,4155.020710045617,4279.587208487407,4399.78815688237,4515.899068502546,4627.721883720255,4735.293662132306,4838.888736934238,4938.7830976507175,5035.489043441084,5129.045376444577,5219.967509413265,5308.7721498759065,5395.497168452744,5480.41926490861
Stock BEPOS (Thousands),0.0,151.7785015206369,300.19999264008123,444.8210904030915,586.1624932053519,723.9726937545241,858.3128259640351,989.563599305847,1117.7878103398687,1243.2061137490193,1365.879925420055,1485.8694420089832,1603.562068203972,1718.8524826949285,1832.130172306797,1943.4530901552025,2052.7090543357913,2160.4556414161702,2266.410307958199,2370.6212834192593,2473.137317857085,2573.8341858729177,2672.2418597085766,2768.569708705559,2862.3395229260427,2953.4125090006423,3041.8182917614818,3127.0679376576813,3209.3611267832425,3288.550401474723,3364.66076146428,3437.891337212226,3508.442644023939,3576.6891153331235,3642.6576101691167,3706.725301391616,3769.270731453947,3830.3207715584076,3890.077993923214
Flow renovation (Thousands),,571.3869906112768,541.3011095297833,509.2304979241851,499.76114985500703,491.12754169937966,483.6486451332016,476.7398774626961,470.3898712501716,459.06065969853495,448.1069123478602,437.66790499745673,427.8484297350901,418.7256097231864,410.16660585973665,402.279547263847,394.98700399118195,388.18438864515605,382.01533273406545,374.925678305861,368.4118084239577,362.5737364696652,357.0904265918182,352.13153452876963,347.33909109934984,342.79341390329694,338.4252036257234,334.27645102791803,330.2922093743667,326.2797966991948,322.546818233922,318.97431134435385,315.5909676315632,312.34506704759957,309.19832757697435,306.17380992928264,303.27152634721057,300.4057036305347,297.692013131215
1 label (Thousands),,399.483278521328,392.52187186683284,387.15995609003335,377.0867192970329,367.59418852557377,358.7080255292506,350.54582439301055,343.1024705142443,336.8959109598937,331.15819659094427,325.83329164941455,320.87873890618175,316.26415373569944,311.99765671854055,308.0594494395697,304.4407023665489,301.10155913360296,298.0096119963172,294.98594623008324,292.12911252328524,289.5597494963022,287.11502158110966,284.86419774521414,282.6626834620167,280.5175927333295,278.41708692206413,276.37279388585597,274.3665467588082,272.3686699351191,270.46264080453375,268.5948713616061,266.80495126306437,265.0320924398974,263.2791865570773,261.5562956431197,259.86578794059943,258.1740650623485,256.54763191232195
2 label (Thousands),,103.16938170371462,93.25066974319388,80.47595967951264,79.67667559960354,78.93998475254459,78.39966129887887,77.77137738674801,77.0909397170942,74.21516598327,71.41463652890593,68.75332417360504,66.28026084571155,64.03330276033495,61.96104416233319,60.0954249966625,58.391412120942974,56.7935565119078,55.293724051792964,53.333002442533235,51.53207695452871,49.90809643155945,48.384286096721304,47.00567317549395,45.663975419006555,44.40082753871524,43.19592022476133,42.05960810217822,40.976192869283636,39.84495084590638,38.79493100649586,37.79835404691279,36.8534256481958,35.97366802594901,35.127745257421395,34.32430894157146,33.562475877369025,32.80925474004566,32.11015875264669
