,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.351523775577576,44.975186062317064,45.2348180441716,43.77901048140414,42.36715023585638,40.97525801350483,39.64438830205431,38.367782945175016,37.466367604914474,36.6339207378189,35.8552741840903,35.1180194545483,34.40865573276295,33.729184184795464,33.07569283547458,32.45280946645889,31.869461781566113,31.32414900120586,30.869935672316274,30.434538676391522,30.015696732756304,29.613911958053706,29.225447371132528,28.85714059286903,28.500838381674935,28.15582813810117,27.821148476814297,27.49740177915539,27.197608008728068,26.90779607000358,26.62751106899946,26.359718909129164,26.10056993683981,25.851219615195937,25.610238714440683,25.377440124419884,25.15231223857106,24.934638166836496
Consumption conventional (TWh),449.76774310273885,435.2105167869277,422.64080532277245,412.2994864306918,402.2531446157196,392.5153201161372,383.07474167296147,373.93583627879786,365.0878767080348,356.70466625656803,348.74970858777624,341.1843274465759,333.9858037994342,327.1007452916967,320.4946654918772,314.1683465910068,308.09342729292234,302.2899090889728,296.6880349218632,291.3170416373014,286.16769405027475,281.24934933263927,276.53474994328536,271.98310653048446,267.58073297689714,263.19896730566404,259.01383787696454,254.8704004800725,250.97263575750293,247.26790775615004,243.72487983638788,240.14115584914563,236.82923014533625,233.6038593200848,230.46119929520367,227.40179769598544,224.40635043438044,221.5034340652227,218.6737837097266
Consumption actual (TWh),299.31913671610755,292.78499278033377,290.4205585014595,292.6506966982522,285.9143816818433,279.3987999436692,272.9761846646691,266.8255822041603,260.9119521661233,256.528148626779,252.38893779448597,248.43643420502136,244.6270894761646,240.9095681126668,237.29020632793737,233.77256806220606,230.38185777875023,227.16892579220055,224.12726420776232,221.4781502046465,218.9067170053515,216.42876535259285,214.0281218270166,211.68738236256598,209.44636415437319,207.1664719090335,204.9747453737552,202.7517747009463,200.6801869392121,198.75781128941475,196.90522012998687,194.96434722472182,193.20135237812244,191.4705090648773,189.77841004806845,188.11912106227265,186.48195824010682,184.8875201605574,183.32445135780512
Consumption Power (TWh),45.59905051094946,44.42595649369526,43.25262342648071,42.207300593513494,41.51573431905853,40.88000161903472,40.29835691287839,39.767912428891485,39.28609456952432,38.82878276530627,38.39287381869481,37.976017169470296,37.57679827590379,37.194076898825315,36.82660910096075,36.473699753208734,36.13429494283565,35.807716597636606,35.49244291253432,35.18394027456609,34.88976925546457,34.604762605215896,34.32473135735933,34.047051006992945,33.76773050831102,33.487441120382414,33.205736596986185,32.92243479867823,32.63788518596174,32.35147405870679,32.06376896678883,31.775021001135357,31.485602836773623,31.196045344267684,30.90663235114038,30.617879360094296,30.330285929489722,30.04415554551341,29.759867754877913
Consumption Natural gas (TWh),122.4689290747837,119.78102145866644,119.0804472948125,118.17388540628245,114.95024409314293,111.8432925565848,108.73409576747666,105.7629978929011,102.91122603121268,100.8025256394665,98.84637321390524,97.00524645683416,95.25052388196082,93.54530132495641,91.85648580274885,90.22125718623528,88.64926043742828,87.17958905723494,85.80871197456185,84.65630549551913,83.5348638981341,82.44451428301224,81.3939437087821,80.36785181769766,79.43126959799073,78.52248986263456,77.63999229897234,76.78154073172458,75.94998565992074,75.16378597849464,74.39961640871172,73.65652956410568,72.95039098222107,72.26258191565694,71.60067347127347,70.95775469817063,70.33325957072164,69.72549968493787,69.13410898290616
Consumption Oil fuel (TWh),56.4821825324762,55.10351957327896,54.88884082071917,57.10897144209863,54.46759377913341,51.871894857518136,49.321090723762694,46.86619970215842,44.49738632022536,42.960922775848786,41.556176498700445,40.25574826358528,39.03541619455688,37.87281923796983,36.80031130160379,35.77656727344756,34.81227355630595,33.91227490834467,33.07446034143713,32.41042330126975,31.78529559691292,31.193541685266,30.633042733264123,30.102645323845028,29.58234045580797,29.08671514768425,28.614495529248515,28.16385982146572,27.734754496127238,27.362261478679304,27.01136362053923,26.68092614866335,26.370111256961323,26.077984098324784,25.803121570642208,25.544994518545955,25.30304003614802,25.076425983031005,24.864400897735955
Consumption Wood fuel (TWh),74.76897459789816,73.47449525469308,73.19864695944712,75.16053925635767,74.9808094905084,74.80361091053149,74.6226412605514,74.42847218020927,74.21724524516094,73.93591744615746,73.5935142631855,73.19942231513161,72.76435112374308,72.29737065091523,71.80680012262397,71.30104384931447,70.78602884218037,70.26934522898433,69.75164897922902,69.22748113329153,68.69678825483992,68.1859467790987,67.67640402761101,67.16983421403033,66.66502359226347,66.06982577833227,65.51452094854817,64.88393934907775,64.35756159720235,63.88028977353401,63.4304711339471,62.85187051081744,62.39524730216641,61.93389770662789,61.46798265501239,60.99849248546176,60.51537270374745,60.041438947075086,59.56607372228508
Heating intensity (%),0.7332466914484328,0.7428345011717963,0.7574938810593455,0.7766458246580313,0.7814943771339539,0.7860242694433749,0.7899955448941733,0.7938776313644437,0.7976557134828616,0.8042365617421409,0.8107136933051634,0.8170077331383379,0.8230575357919411,0.8288018831509856,0.8343064456415972,0.8395912616006593,0.8447785690384074,0.8499834894604502,0.8553030019699595,0.8613627052601243,0.867224885225676,0.8728931759648557,0.8783680398391812,0.8836751541886961,0.8889616371017359,0.8941141056790723,0.8990940828765871,0.9039575703603474,0.9086272469418982,0.9133395080576999,0.9178958567734122,0.9223704353844947,0.926662662221254,0.9308441256073474,0.9349483293074076,0.9389554038822443,0.9428798268598046,0.9467156806110847,0.9504736638310646
Heating intensity C1 (%),0.583986048064517,0.5960266451529533,0.6125276017621236,0.6328573292234381,0.6400956430684591,0.6467779973767281,0.6527093700559933,0.6583767872904224,0.6637995203008956,0.6717518223929848,0.6794758665315529,0.686905466316459,0.6939965618646774,0.7006913969063858,0.7070622114207445,0.7131339665243597,0.7190190599495093,0.7248376860351677,0.7306683208177838,0.7371152508038008,0.7433087468713888,0.7492301314195036,0.7549046040989718,0.7603528553173493,0.7657076788468715,0.7708419192809196,0.7757690093774319,0.7804875831763162,0.7849962270949511,0.7895874120873703,0.7939462620938254,0.7981456544067573,0.8021990242320923,0.8061273534945702,0.8099646787483518,0.8136971437220608,0.8173377903834572,0.8208902967764147,0.8243630133048561
Heating intensity C2 (%),0.6544482939201209,0.6666922384280594,0.6833932379714732,0.7038514505881114,0.7104572222288633,0.716580061176556,0.7219802967155677,0.7271281190496169,0.7320128098477177,0.7395473208195799,0.7468403433901221,0.7538277148362682,0.7604663737826006,0.7667022801782188,0.7726165789504146,0.778236866966795,0.7836864268997864,0.7891025453382698,0.7945720755330185,0.8007403118619574,0.8066797672011531,0.8124027674462447,0.8178978097610842,0.8231957990628633,0.8284545281594798,0.8335667242085933,0.8384710994388066,0.8432023406305764,0.8478795810982066,0.852502859495445,0.8569769409583987,0.8613461511385293,0.8655528577617789,0.8696440268172313,0.8736536209540976,0.8775641308411097,0.8814103890512713,0.8851475033564029,0.8888064686148796
