Occupancy status,Housing type,Income class,Heating energy,Energy performance,Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Landlords,Single-family,C1,Power,G,C1,3786.5254301195205,3637.0523800516985,3491.9417645139565,3351.5739018156237,3216.4590221249064,3086.510036899788,2961.616756404624,2841.651302098688,2726.4722079666444,2615.9289072215647,2509.8683633395194,2408.137218765193,2310.583167580802,2217.0556968008145,2127.4065362429815,2041.4900863016069,1959.1632792266382,1880.2860315004782,1804.7216402055458,1732.3375328104858,1663.0061838887275,1596.6043210652103,1533.0131875982288,1472.11864804143,1413.8111164480094,1357.985392615674,1304.5405234309183,1253.3796062125828,1204.4096601009958,1157.5413602788965,1112.688945176068,1069.7700086822717,1028.7054588208084,989.4192906828202,951.838522629185,915.8930767667051,881.5156627465068,848.6416685226894,817.2090590876236
Landlords,Single-family,C2,Power,G,C1,2404.513346976627,2294.822417105289,2189.287249320667,2088.0703432525243,1991.4085041220806,1899.1637298049263,1811.1869159592877,1727.3214809422198,1647.4060683815128,1571.2773352702263,1498.7749902315932,1429.7422971166154,1364.0267767167798,1301.4805150322102,1241.9602883856435,1185.3277609539305,1131.449216816009,1080.1957257644422,1031.4432665177897,985.0730342862296,940.9720140932645,899.032049679079,859.1498665078343,821.2270054800957,785.1696602989936,750.8884491179366,718.2982510440834,687.3179888991423,657.8704565768734,629.8820775651211,603.2827936827456,578.005824491606,553.9875622587666,531.1673739941094,509.4874927791046,488.8928835783992,469.3311148113295,450.7522360386971,433.1086646002987
Landlords,Single-family,C3,Power,G,C1,4446.458955239427,4260.713436194919,4081.0081170133208,3907.740969277166,3741.4563158769524,3581.9996560650907,3429.191346025327,3282.833116381926,3142.7129860198443,3008.6105185250167,2880.305219489209,2757.578490498851,2640.2151506476544,2528.0042205344266,2420.739363989048,2318.219365001859,2220.247858566525,2126.6337964564536,2037.1918406355587,1951.7431414570813,1870.1164166185404,1792.1467479446942,1717.675802115905,1646.5518732914236,1578.6297279650448,1513.7703319625532,1451.8406490793784,1392.7133542126096,1336.2666266530018,1282.383794786112,1230.953195671116,1181.8678633247323,1135.0254303921251,1090.3278294498868,1047.6811749377093,1006.9955860714311,968.1850142098408,931.1670811575715,895.8629327709443
Landlords,Single-family,C4,Power,G,C1,1264.294136888815,1197.9327084072102,1134.691671414596,1074.589841713638,1017.6828772635549,963.8345868018973,912.9067013293505,864.7608127929643,819.2597669270674,776.2690404782799,735.6589595885004,697.3049295970691,661.0876271586467,626.8929962053966,594.6121538581264,564.1413181698633,535.3815385578267,508.238622493878,482.62304493069973,458.44994434201567,435.6392068830166,414.11496276451385,393.80546659407645,374.64294152811823,356.56338595586067,339.5063587591102,323.4147952129572,308.23481280148593,293.915543452174,280.40893914986157,267.6696338144976,255.6547690838603,244.32387504754934,233.63871650535802,223.56318147472712,214.06316298030143,205.10644758074295,196.66260963795463,188.70291349424494
Landlords,Single-family,C5,Power,G,C1,521.7806407756099,494.07302028378496,467.689616394825,442.63570510964814,418.931524891958,396.5181554615951,375.33598457661884,355.3254960848286,336.4278328012566,318.58534455576506,301.74267527714585,285.8467155733117,270.84666892941124,256.6940376470091,243.3425724192922,230.74824716004827,218.86912973653705,207.66534956763823,197.09905736039275,187.1344189960622,177.7376769674996,168.87687815701358,160.52182110534545,152.64398849973958,145.2164644770161,138.21384030183407,131.6121411994484,125.38874239158083,119.52229640686369,113.99265078526112,108.78079418380221,103.86877372714704,99.23964641502647,94.87741423634981,90.76697650253156,86.8940795968308,83.24526957057329,79.80784717573721,76.56982624156697
Landlords,Single-family,C1,Power,F,C1,1058.7420916038577,1113.9384514982783,1158.786353560029,1195.1406187287475,1225.7760100035973,1251.2064764772067,1272.0432401488379,1288.9287533086126,1302.511829995,1311.986741091884,1317.5889140077732,1319.5648145709522,1318.1708357696002,1313.669065498178,1306.2477167630234,1296.133774587226,1283.51470342356,1268.5502924627506,1251.3828900498509,1232.0152774688997,1210.6816401267467,1187.5988534483151,1162.967714093605,1136.9739310942932,1109.7890730846334,1081.5717021085197,1052.4688171834218,1022.6166107694144,992.141347576575,961.1360817460884,929.7139892405457,897.9792393122585,866.0277515713484,833.947509042411,801.818313406201,769.7142991576578,737.7032576975217,705.8470542874321,674.202027588557
Landlords,Single-family,C2,Power,F,C1,3061.007870152493,3023.9232713799147,2980.7952805836203,2933.0379734505345,2882.639909380625,2830.013698248369,2775.6094619191426,2719.8759485449586,2663.246926833726,2605.2845144952344,2546.1652501226604,2486.066493123344,2425.1664126259834,2363.6418033395107,2301.623027396691,2239.2593712292814,2176.6744213206143,2113.9733358678163,2051.2488647826813,1988.5163428638148,1925.9137286478447,1863.565727449219,1801.5849296326955,1740.072735748966,1679.1209045634625,1618.8109601524086,1559.2160248921018,1500.401419413645,1442.4253758795262,1385.3275457060372,1329.15607487791,1273.9529124997098,1219.7544391354659,1166.5916927022915,1114.4905188781036,1063.4728298962993,1013.5564645932053,964.7555108424465,917.0806196383114
Landlords,Single-family,C3,Power,F,C1,2948.7772796828963,2962.0948905885725,2963.7017706090874,2955.935334401889,2942.2060042272533,2923.1707031966457,2899.583659021405,2872.2216603030743,2841.8559740536825,2807.5900155765676,2769.7155356665476,2728.533221162508,2684.351748747712,2637.4830502523946,2588.152284181989,2536.62719807781,2483.129548865263,2427.8489181475084,2370.954398002588,2312.4619836710576,2252.638160590993,2191.727619804905,2129.954943292069,2067.5259658345653,2004.631114432467,1941.4424800075628,1878.1179080242182,1814.8019634185425,1751.6270649567032,1688.6888500439384,1626.1031590921798,1563.9749680138145,1502.3993772207841,1441.4619930169583,1381.238979779986,1321.7994919828757,1263.2052233325526,1205.5109314692886,1148.7649610159576
Landlords,Single-family,C4,Power,F,C1,1321.661898442881,1310.5879854643804,1295.369147311885,1276.8290509218916,1256.063910914947,1233.365652252271,1209.038589707784,1183.3797319746081,1156.6715516838335,1128.7611442777384,1099.7972782733,1069.9243700228224,1039.2824908347307,1008.0063874284082,976.2038169302617,943.9883398637144,911.4579771718749,878.699109145352,845.7896317594704,812.7701268290116,779.7331722579579,746.7622845815121,713.9326927268845,681.3119963416857,648.9618916662928,616.9363489747121,585.2835737062263,554.04645264427,523.263033170177,492.961818065513,463.173460690922,433.92457716846724,405.2381297561285,377.13365464211074,349.62747590198103,322.73322734431076,296.4619462846427,270.82229013569184,245.82074930645157
Landlords,Single-family,C5,Power,F,C1,967.6098004756702,950.3482601215559,931.6351474078433,911.8342791241719,891.4253418349304,870.5296840546871,849.271079658862,827.768097070099,806.1314944500233,784.2959125305961,762.3169951443947,740.2483458367396,718.1416592105917,696.0463873972449,674.0011888137477,652.0470167093017,630.2186114924335,608.5460617066087,587.0560391727842,565.7606676657313,544.6922749925583,523.879476534192,503.3475231575365,483.11859126792723,463.2125146657283,443.6460203205367,424.4335594330943,405.58748698778874,387.1182652531356,369.0326769435899,351.3382997595978,334.04112965643293,317.1457626593875,300.6554717927316,284.5723120781173,268.897321714556,253.6305679711425,238.77123622278188,224.3177175273312
