,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Emission (MtCO2),46.43459703630897,45.70392475422083,45.617283188639234,46.12476286054235,44.84176116431566,43.57736810138837,42.3058383825411,41.07087053030892,39.8681976342192,39.04259690317955,38.270744839581155,37.54018147544267,36.839785080503084,36.15918535649637,35.50472005337952,34.870950908163984,34.267600666629924,33.703336446565395,33.17860923223541,32.74886677494568,32.333841945157594,31.932020454674007,31.54343015223782,31.16796575185649,30.811230799391964,30.464570792858524,30.126387470408165,29.79715223488394,29.476918740330003,29.180615951788884,28.89214220577663,28.613801404014236,28.34681732812688,28.086976408124503,27.835469511614047,27.590300690201023,27.351849613277118,27.11940307662619,26.892815689413503
Consumption conventional (TWh),449.76774310273885,439.1997185619918,429.83677950526567,421.7985105881679,413.9052649823927,406.12312453637117,398.41163502714255,390.75631203386394,383.1484598840465,375.7755238252603,368.636352284578,361.7248352170418,355.03175867658683,348.54281024108064,342.2659538927136,336.18534668199493,330.3181050615654,324.67718313643707,319.2077584141033,313.92096629087405,308.8090667959748,303.8746712941682,299.10189614168837,294.4859489110947,290.0020950503772,285.647232832703,281.40848468409143,277.28785302361547,273.28705674629714,269.2641371537301,265.4117470634701,261.6471668344469,258.11880864693313,254.7146578441133,251.39498102002526,248.03972952817645,244.90408751147595,241.83953560386914,238.83263877418133
Consumption actual (TWh),299.31913671610755,294.30354176450203,293.26599957610756,296.6087905752197,290.70965323379596,284.9568190306507,279.2095444279026,273.6494308263713,268.2429650002664,264.3764971378045,260.6917487269588,257.1386247648108,253.67459598637774,250.25987891498627,246.91791644873408,243.64189859726633,240.48163470447145,237.48183032599957,234.64405678701053,232.19906093456603,229.80509905670263,227.46888872260644,225.17987212378983,222.94024336543848,220.78590972671338,218.66844667685396,216.58172732567428,214.52859749199442,212.5127622297811,210.48813908208393,208.54465782122517,206.60551519727198,204.81553250276923,203.07618356892993,201.37205176691035,199.58695205672,197.9529802493052,196.34511708035984,194.75440504725006
Consumption Power (TWh),45.59905051094946,44.565156007095986,43.55711787410739,42.686750500328976,42.15448791912265,41.660242025820466,41.203163069986054,40.78129328495225,40.39313251418279,40.01752781835684,39.65244530016658,39.296594720943716,38.94946482352952,38.610823357008144,38.28023587095068,37.95759157498466,37.64218851208384,37.33374699743363,37.03075657879895,36.72863929989406,36.43462667329459,36.1439481119622,35.8581474675333,35.57356155669415,35.287640851288344,35.0007230114228,34.71319825335257,34.42518063161341,34.14063309289913,33.85527177571926,33.568836269201334,33.28176019497563,32.994475092299496,32.70988659210081,32.425456904181594,32.14192911802751,31.860531078347734,31.580160926886922,31.300967981457134
Consumption Natural gas (TWh),122.4689290747837,120.48699680576212,120.35562015753314,119.9314839880321,117.09499828156895,114.3210017135945,111.48976211650894,108.74936371591745,106.08606903002287,104.15489971877507,102.34557368804506,100.62529533682338,98.96432600613564,97.33460814597919,95.7123781115282,94.12828131649873,92.61741640214406,91.20339915446637,89.88712167985703,88.79281960389324,87.72353088487398,86.6792627826852,85.66225086617355,84.67667759768405,83.78288390433505,82.913573843641,82.0615172930308,81.22889931679269,80.41666136192346,79.65010873426053,78.9015160040696,78.18264390137938,77.50023826000589,76.83266525576182,76.18914404733538,75.55912403362913,74.94386335805876,74.34119460993335,73.75078863890124
Consumption Oil fuel (TWh),56.4821825324762,55.813384318197784,56.16151756040917,58.84742352963206,56.472389087151534,54.09894838700606,51.719847569489275,49.38970712138538,47.103626358333486,45.67167790969698,44.343713076888356,43.09830487943078,41.916304397314455,40.77995781449372,39.73039820171894,38.725096816755304,37.774783298340665,36.89444319108625,36.085953129465736,35.46642497156078,34.87851476326464,34.319317403443534,33.786421600687255,33.27845706168804,32.77345628621263,32.28843050914262,31.82252910135297,31.375834211577093,30.945602629427817,30.571063849378064,30.212997829246504,29.871084475485386,29.544674164513548,29.232341215419307,28.93319093400303,28.647129656001816,28.373945162904594,28.11320783123071,27.864535005986443
Consumption Wood fuel (TWh),74.76897459789816,73.43800463344616,73.1917439840578,75.14313255722656,74.98777794595281,74.87662690422967,74.79677167191832,74.72906670411626,74.66013709772726,74.53239169097563,74.35001666185882,74.11842982761291,73.84450075939816,73.5344895975052,73.19490426453623,72.83092888902762,72.44724649190287,72.05024098301332,71.64022539888883,71.21117705921796,70.76842673526943,70.32636042451551,69.87305218939572,69.41154714937227,68.94192868487735,68.46571931264756,67.98448267793795,67.49868333201123,67.00986514553067,66.4116947227261,65.86130771870769,65.27002662543157,64.77614498595027,64.30129050564797,63.82425988139037,63.23876924906154,62.774640649994126,62.31055371230886,61.838113420905245
Heating intensity (%),0.7332466914484328,0.7410860494705431,0.7543365101113344,0.7724036467218138,0.7761677061493406,0.7796923718392423,0.7827390858174123,0.7857797085223875,0.7887936363253736,0.7947303130135415,0.8006446537232722,0.8064434172031305,0.812055408861073,0.8174039720476761,0.8225446242807648,0.8274957512870932,0.8323687594729795,0.8372830857305654,0.8423374660895472,0.8481791663016505,0.8538530549235911,0.859366587543035,0.8647108898860001,0.869900758543907,0.8750836898261974,0.8801147990829115,0.8850032531736908,0.8897406901579827,0.8943318675389412,0.8990287953330233,0.9035741838110602,0.9080219066756025,0.9122961306022421,0.9164557703938577,0.9205456084210467,0.9245922921285823,0.9285101027521155,0.9323527179190307,0.9361307058643114
Heating intensity C1 (%),0.583986048064517,0.5930323999182459,0.6071387223660464,0.6256574532790241,0.6311315377189707,0.6362155915573201,0.6407083804610805,0.6450938527908533,0.6493787966622819,0.6564003444637164,0.663338959459709,0.6701062499509324,0.6766381956837727,0.6828580506575461,0.6888273419583322,0.6945573468922288,0.7001538517622036,0.7057347471824307,0.7113762489320717,0.7177058650188778,0.7238065124314655,0.72968477141978,0.7353337210734567,0.7407706196059677,0.7461254021488669,0.751269197227741,0.7562134903594209,0.7609543499112188,0.7655011985394766,0.7700675146539284,0.7744655688505335,0.7787074743263878,0.7828020409526718,0.7867723009246964,0.790646355370422,0.7944195083614485,0.7980932688640084,0.8016840304133488,0.8052013302264759
Heating intensity C2 (%),0.6544482939201209,0.6630776948217609,0.6769041288956439,0.6951966416533959,0.6996527149094831,0.7038128960817188,0.7074413908782823,0.7110140535094247,0.7145106559415566,0.7209282313099643,0.727292309677163,0.7335085094585452,0.739506537900183,0.7452063693188778,0.75067200643114,0.7559191450329884,0.7610577319406533,0.7662147830887193,0.7714769122907829,0.7775098936187462,0.7833503810656912,0.7890005646527489,0.7944416580682038,0.7997096081911449,0.8049425097258,0.8099975763902088,0.814876841582894,0.8195834232767206,0.8241367975090349,0.8287656879505684,0.8332506171037445,0.8376045210600159,0.8418706095001373,0.8459667948699011,0.8499919544292251,0.8539295427182225,0.8577906889811868,0.8615768754485816,0.8653177237780338
